"","19CS_20CS","19TA_20CS","20CS_20CS","20LY_20CS","19CS_20LY","19TA_20LY","20CS_20LY","20LY_20LY","wavelength"
"3602",0.659013956136499,0.640164849165792,0.690241688677475,0.653530510595965,0.666990025493706,0.64468932271258,0.647155244285682,0.714238432391641,2200.5
"3603",0.658942417841507,0.640072577386551,0.690143109395094,0.653517058306477,0.666906936900323,0.644619391054554,0.647016786846447,0.71422145732514,2201
"3604",0.658871710612909,0.63998171238154,0.690045632315068,0.653505508012332,0.666824414575397,0.644550076767489,0.646879331166132,0.714204240934863,2201.5
"3605",0.658801857827958,0.63989248318446,0.689949088124985,0.653495867224566,0.666742559640201,0.644481691061037,0.646742718056148,0.714186884283751,2202
"3606",0.658733027006595,0.639805164604643,0.689853561638993,0.653488179259505,0.666661368536906,0.644414719176513,0.646606768613609,0.714169535954487,2202.5
"3607",0.65866526415918,0.639720074844476,0.689758962718857,0.653482278046438,0.666580994482113,0.644349467000456,0.646471386235417,0.714152673227095,2203
"3608",0.658598676262711,0.639637359494772,0.689665228700405,0.653477860583982,0.666501426403105,0.644286238682989,0.646336586524608,0.714136643833363,2203.5
"3609",0.658533506073749,0.639557288265925,0.689572578371078,0.653474610574183,0.66642280426031,0.64422516056755,0.646202293643906,0.714121891344024,2204
"3610",0.658469815243635,0.639480012972999,0.689481059648096,0.653472283033778,0.666345251830001,0.644166649060025,0.646068882626193,0.714108842065017,2204.5
"3611",0.658407534814298,0.639405198964449,0.689390600903837,0.653470330731678,0.666268448705303,0.644110338789419,0.645936361376963,0.714097532903363,2205
"3612",0.658346791235036,0.639332839760022,0.689301457580451,0.653468392300607,0.66619243630715,0.644056257813033,0.645805077246312,0.714088218754836,2205.5
"3613",0.65828742694336,0.639262700474401,0.68921349944134,0.653466076933273,0.666117157148784,0.644004319185653,0.645675291745896,0.714080696511366,2206
"3614",0.658229096400874,0.639194041002788,0.689126599810294,0.653462893923672,0.666042184145351,0.643954343554641,0.645547123668355,0.714074604275136,2206.5
"3615",0.65817184111036,0.639126876757379,0.689040838710312,0.6534587066454,0.665967393279024,0.643905884174879,0.645420521679493,0.714069446492985,2207
"3616",0.658115499937021,0.639060737968036,0.688955912120001,0.653453501849059,0.665892779964526,0.643858981060288,0.645295763836101,0.714064859293568,2207.5
"3617",0.658059887280477,0.638995282639479,0.688871643013851,0.653447083780659,0.665818093053212,0.643813247773138,0.645172428323015,0.714060093369124,2208
"3618",0.658004936916449,0.63893042161935,0.688787788119527,0.65343968847928,0.665743284971341,0.643768732691521,0.645050348098889,0.714054573132719,2208.5
"3619",0.657950802392606,0.638866088881926,0.688704386667578,0.653431841119082,0.665668578950092,0.643725194719082,0.64492928928111,0.714047947736092,2209
"3620",0.657897514392664,0.638802327521487,0.688621348091883,0.653424071922758,0.665594030939958,0.643682683636559,0.644808994759987,0.714040033942797,2209.5
"3621",0.657844978265356,0.638739074153155,0.688538624939493,0.653416755363397,0.665519748557145,0.643640928656321,0.644689191531493,0.714030767415357,2210
"3622",0.657793199597013,0.63867649282515,0.688456445566405,0.653410616106856,0.665445822771756,0.643599966691193,0.644569689642491,0.714020234753554,2210.5
