"","pedigree","female","male","env","blue","gy_mid_parent","ph_mid_parent","dy_mid_parent"
"744","A06036/RTx2940","A06036","RTx2940","19CS",133.35,3088.92425,94.615,69.5
"760","A07118/R07161","A07118","R07161","19CS",128.27,3707.63225,111.125,68.75
"762","A07118/R08224","A07118","R08224","19CS",144.78,2878.16235,106.68,70.25
"765","A07118/R08304","A07118","R08304","19CS",146.05,4180.32705,103.505,68
"770","A07118/R12145","A07118","R12145","19CS",120.65,3577.62245,100.33,71
"771","A07118/R12148","A07118","R12148","19CS",144.78,3824.9061,100.33,70.25
"774","A07118/R12157","A07118","R12157","19CS",123.19,4183.99705,105.41,69.5
"781","A07118/RTx2919","A07118","RTx2919","19CS",132.08,3643.5538,95.25,68
"792","A07118/RTx2944","A07118","RTx2944","19CS",140.97,3285.2678,97.155,68
"793","A07124/R01302","A07124","R01302","19CS",151.13,2954.852,99.06,70.25
"796","A07124/R04060","A07124","R04060","19CS",138.43,4209.04355,107.95,69.75
"798","A07124/R05330","A07124","R05330","19CS",152.4,3413.1605,108.585,71
"802","A07124/R05425","A07124","R05425","19CS",171.45,3246.45865,89.535,68.25
"805","A07124/R07178","A07124","R07178","19CS",132.08,3883.5731,93.98,68
"811","A07124/R11158","A07124","R11158","19CS",158.75,3677.23325,100.33,68
"812","A07124/R11208","A07124","R11208","19CS",128.27,3543.01015,87.63,68.25
"823","A07124/RTx2917","A07124","RTx2917","19CS",130.81,3840.8379,100.33,68
"825","A07124/RTx2919","A07124","RTx2919","19CS",139.7,3553.26145,95.25,68
"827","A07124/RTx2935","A07124","RTx2935","19CS",142.24,3732.9418,97.155,68.25
"835","A07124/RTx2943","A07124","RTx2943","19CS",154.94,3492.70435,105.41,71
"839","A08068/R03248","A08068","R03248","19CS",134.62,3740.2071,90.805,70.75
"848","A08068/R07161","A08068","R07161","19CS",153.67,3499.8559,109.855,71
"855","A08068/R11158","A08068","R11158","19CS",146.05,3559.74925,99.06,70.25
"861","A08068/R12156","A08068","R12156","19CS",125.73,3812.1342,103.505,73.25
"869","A08068/RTx2919","A08068","RTx2919","19CS",133.35,3435.77745,93.98,70.25
"877","A08068/RTx2941","A08068","RTx2941","19CS",137.16,2996.3087,97.155,73.25
"882","A08134/R02107","A08134","R02107","19CS",140.97,2253.2277,106.045,70.25
"884","A08134/R04060","A08134","R04060","19CS",137.16,3861.5148,111.76,69.75
"889","A08134/R05405","A08134","R05405","19CS",182.88,3272.40475,93.345,68
"893","A08134/R07178","A08134","R07178","19CS",132.08,3536.04435,97.79,68
"895","A08134/R08297","A08134","R08297","19CS",137.16,3592.64445,100.965,68
"899","A08134/R11158","A08134","R11158","19CS",156.21,3329.7045,104.14,68
"903","A08134/R12148","A08134","R12148","19CS",153.67,3387.085,104.14,70.25
"912","A08134/RTx2918","A08134","RTx2918","19CS",147.32,3624.89255,104.14,68.25
"916","A08134/RTx2936","A08134","RTx2936","19CS",163.83,3047.8624,99.695,69.75
"920","A08134/RTx2940","A08134","RTx2940","19CS",143.51,3555.3117,99.695,68.25
"923","A08134/RTx2943","A08134","RTx2943","19CS",167.64,3145.1756,109.22,71
"928","A08140/R04060","A08140","R04060","19CS",148.59,3847.78185,103.505,70.25
"929","A08140/R04104","A08140","R04104","19CS",130.81,3846.6286,97.155,68.5
"931","A08140/R05386","A08140","R05386","19CS",138.43,3606.45555,87.63,68.5
"937","A08140/R07178","A08140","R07178","19CS",139.7,3522.3114,89.535,68.5
"940","A08140/R08303","A08140","R08303","19CS",129.54,3417.6134,85.09,68.5
"947","A08140/R12148","A08140","R12148","19CS",151.13,3373.35205,95.885,70.75
"949","A08140/R12156","A08140","R12156","19CS",134.62,3568.3565,100.33,71.5
"966","A08140/RTx2942","A08140","RTx2942","19CS",142.24,3649.97495,99.06,68
"969","A08158/R01302","A08158","R01302","19CS",146.05,3008.6253,110.49,71
"971","A08158/R03248","A08158","R03248","19CS",146.05,3911.4644,103.505,69.25
"974","A08158/R05330","A08158","R05330","19CS",157.48,3466.9338,120.015,71.75
"981","A08158/R07178","A08158","R07178","19CS",149.86,3937.3464,105.41,68.75
"982","A08158/R08224","A08158","R08224","19CS",171.45,2841.6433,118.11,71
"989","A08158/R12071","A08158","R12071","19CS",142.24,3815.4031,108.585,70.25
"990","A08158/R12145","A08158","R12145","19CS",133.35,3541.1034,111.76,71.75
"992","A08158/R12154","A08158","R12154","19CS",151.13,3596.96925,108.585,70.75
"995","A08158/RTx2912","A08158","RTx2912","19CS",147.32,2441.79825,105.41,71.75
"997","A08158/RTx2914","A08158","RTx2914","19CS",146.05,3539.12745,113.03,70.25
"999","A08158/RTx2917","A08158","RTx2917","19CS",138.43,3894.6112,111.76,68.75
"1007","A08158/RTx2939","A08158","RTx2939","19CS",168.91,2751.29575,121.74345,72.8628
"1016","A11076/R04060","A11076","R04060","19CS",133.35,4291.62815,108.585,69.25
"1025","A11076/R07178","A11076","R07178","19CS",138.43,3966.1577,94.615,67.5
"1027","A11076/R08297","A11076","R08297","19CS",128.27,4022.7578,97.79,67.5
"1035","A11076/R12148","A11076","R12148","19CS",124.46,3817.19835,100.965,69.75
"1036","A11076/R12154","A11076","R12154","19CS",144.78,3625.78055,97.79,69.5
"1044","A11076/RTx2918","A11076","RTx2918","19CS",135.89,4055.0059,100.965,67.75
"1050","A11076/RTx2938","A11076","RTx2938","19CS",137.16,2431.93105,89.535,71.25
"1052","A11076/RTx2940","A11076","RTx2940","19CS",135.89,3985.42505,96.52,67.75
"1058","A11085/R02107","A11085","R02107","19CS",143.51,1828.20165,105.41,70.25
"1059","A11085/R03248","A11085","R03248","19CS",133.35,3085.1363,95.25,68.5
"1061","A11085/R04104","A11085","R04104","19CS",124.46,3435.3355,104.775,68
"1069","A11085/R07178","A11085","R07178","19CS",133.35,3111.0183,97.155,68
"1079","A11085/R12148","A11085","R12148","19CS",138.43,2962.05895,103.505,70.25
"1098","A11085/RTx2942","A11085","RTx2942","19CS",138.43,3238.68185,106.68,67.5
"1100","A11085/RTx2944","A11085","RTx2944","19CS",143.51,2422.42065,100.33,68
"1112","AHF14/R07161","AHF14","R07161","19CS",147.32,3388.92765,116.205,69.75
"1143","AHF14/RTx2943","AHF14","RTx2943","19CS",138.43,3264.2921,110.49,72
"1146","AKS116/R02107","AKS116","R02107","19CS",138.43,1866.84955,96.52,70.25
"1160","AKS116/R08303","AKS116","R08303","19CS",137.16,3044.9682,83.82,68
"1168","AKS116/R12154","AKS116","R12154","19CS",129.54,2809.28905,91.44,70
"1175","AKS116/RTx2917","AKS116","RTx2917","19CS",128.27,3106.931,94.615,68
"1178","AKS116/RTx2920","AKS116","RTx2920","19CS",111.76,2888.82775,85.09,68
"1180","AKS116/RTx2936","AKS116","RTx2936","19CS",152.4,2661.48425,90.17,69.75
"1184","AKS116/RTx2940","AKS116","RTx2940","19CS",129.54,3168.93355,90.17,68.25
"1186","AKS116/RTx2942","AKS116","RTx2942","19CS",123.19,3277.32975,97.79,67.5
"1188","AKS116/RTx2944","AKS116","RTx2944","19CS",134.62,2461.06855,91.44,68
"1189","AKS117/R01302","AKS117","R01302","19CS",120.65,2492.516,94.615,72.25
"1211","AKS117/R12148","AKS117","R12148","19CS",125.73,3272.27775,95.885,72.25
"1217","AKS117/RTx2914","AKS117","RTx2914","19CS",142.24,3023.01815,97.155,71.5
"1230","AKS117/RTx2942","AKS117","RTx2942","19CS",135.89,3548.90065,99.06,69.5
"1248","AKS118/R08303","AKS118","R08303","19CS",134.62,3427.09205,92.71,70.25
"1257","AKS118/R12156","AKS118","R12156","19CS",121.92,3577.83515,107.95,73.25
"1259","AKS118/RTx2912","AKS118","RTx2912","19CS",146.05,2036.2419,97.155,73.25
"1262","AKS118/RTx2916","AKS118","RTx2916","19CS",143.51,2790.717,100.33,73.25
"1264","AKS118/RTx2918","AKS118","RTx2918","19CS",128.27,3620.63825,103.505,70.5
"1267","AKS118/RTx2935","AKS118","RTx2935","19CS",139.7,3381.15875,100.33,70.5
"1275","AKS118/RTx2943","AKS118","RTx2943","19CS",146.05,3140.9213,108.585,73.25
"1277","AKS119/R01302","AKS119","R01302","19CS",149.86,2589.96775,106.045,71.75
"1283","AKS119/R05386","AKS119","R05386","19CS",130.81,3602.833,99.06,69.5
"1284","AKS119/R05393","AKS119","R05393","19CS",132.08,2217.82225,102.235,72.5
"1287","AKS119/R05512","AKS119","R05512","19CS",160.02,2764.98755,100.965,71
"1293","AKS119/R08304","AKS119","R08304","19CS",167.64,3725.15045,110.49,69.5
"1305","AKS119/RTx2914","AKS119","RTx2914","19CS",154.94,3120.4699,108.585,71
"1308","AKS119/RTx2918","AKS119","RTx2918","19CS",142.24,3607.53705,107.315,69.75
"1309","AKS119/RTx2919","AKS119","RTx2919","19CS",143.51,3188.3772,102.235,69.5
"1324","AKS120/R04060","AKS120","R04060","19CS",148.59,3607.933,111.76,70
"1330","AKS120/R05425","AKS120","R05425","19CS",167.64,2645.3481,93.345,68.5
"1332","AKS120/R07161","AKS120","R07161","19CS",171.45,3016.22935,114.935,69
"1336","AKS120/R08303","AKS120","R08303","19CS",149.86,3177.76455,93.345,68.25
"1338","AKS120/R08306","AKS120","R08306","19CS",154.94,3433.3428,100.965,68.25
"1341","AKS120/R12071","AKS120","R12071","19CS",149.86,3160.51925,100.965,69.75
"1352","AKS120/RTx2918","AKS120","R12148","19CS",158.75,3371.31075,104.14,68.5
"1355","AKS120/RTx2935","AKS120","RTx2935","19CS",162.56,3131.83125,100.965,68.5
"1362","AKS120/RTx2942","AKS120","RTx2942","19CS",162.56,3410.1261,107.315,67.75
"1378","AN263/R08224","AN263","R08224","19CS",143.51,1815.4765,105.41,73.25
"1384","AN263/R11208","AN263","R11208","19CS",114.3,2570.61665,86.36,71.25
"1387","AN263/R12148","AN263","R12148","19CS",139.7,2762.22025,99.06,73.25
"1399","AN263/RTx2935","AN263","RTx2935","19CS",123.19,2760.5483,95.885,71.25
"1400","AN263/RTx2936","AN263","RTx2936","19CS",129.54,2422.99765,94.615,72.75
"1402","AN263/RTx2938","AN263","RTx2938","19CS",123.19,1376.95295,87.63,74.75
"1427","AN268/R11158","AN268","R11158","19CS",124.46,3313.37415,93.98,66
"1431","AN268/R12148","AN268","R12148","19CS",121.92,3370.75465,93.98,68.25
"1432","AN268/R12154","AN268","R12154","19CS",115.57,3179.33685,90.805,68
"1454","AN290/R02107","AN290","R02107","19CS",135.89,2556.2734,96.52,71.75
"1455","AN290/R03248","AN290","R03248","19CS",139.7,3813.20805,86.36,70
"1459","AN290/R05386","AN290","R05386","19CS",116.84,3923.2342,86.36,69.5
"1464","AN290/R07161","AN290","R07161","19CS",144.78,3572.85685,105.41,70.25
"1476","AN290/R12154","AN290","R12154","19CS",128.27,3498.7129,91.44,71.5
"1483","AN290/RTx2917","AN290","RTx2917","19CS",116.84,3796.35485,94.615,69.5
"1486","AN290/RTx2920","AN290","RTx2920","19CS",124.46,3578.2516,85.09,69.5
"1494","AN290/RTx2942","AN290","RTx2942","19CS",132.08,3966.7536,97.79,69
"1495","AN290/RTx2943","AN290","RTx2943","19CS",134.62,3448.2213,99.695,72.5
"1497","ATx2921/R01302","ATx2921","R01302","19CS",148.59,2464.48015,105.41,72.5
"1502","ATx2921/R05330","ATx2921","R05330","19CS",176.53,2922.78865,114.935,73.25
"1505","ATx2921/R05405","ATx2921","R05405","19CS",163.83,3129.56165,95.885,70.25
"1509","ATx2921/R07178","ATx2921","R07178","19CS",143.51,3393.20125,100.33,70.25
"1518","ATx2921/R12145","ATx2921","R12145","19CS",138.43,2996.95825,106.68,73.25
"1522","ATx2921/R12157","ATx2921","R12157","19CS",138.43,3603.33285,111.76,71.75
"1525","ATx2921/RTx2914","ATx2921","RTx2914","19CS",152.4,2994.9823,107.95,71.75
"1528","ATx2921/RTx2918","ATx2921","RTx2918","19CS",144.78,3482.04945,106.68,70.5
"1543","ATx2923/R03248","ATx2923","R03248","19CS",140.97,3612.8601,92.71,70
"1545","ATx2923/R04104","ATx2923","R04104","19CS",143.51,3963.0593,102.235,69.5
"1546","ATx2923/R05330","ATx2923","R05330","19CS",148.59,3168.3295,109.22,72.5
"1549","ATx2923/R05405","ATx2923","R05405","19CS",153.67,3375.1025,90.17,69.5
"1550","ATx2923/R05425","ATx2923","R05425","19CS",149.86,3001.62765,90.17,69.75
"1555","ATx2923/R08297","ATx2923","R08297","19CS",134.62,3695.3422,97.79,69.5
"1559","ATx2923/R11158","ATx2923","R11158","19CS",146.05,3432.40225,100.965,69.5
"1560","ATx2923/R11208","ATx2923","R11208","19CS",114.3,3298.17915,88.265,69.75
"1562","ATx2923/R12145","ATx2923","R12145","19CS",132.08,3242.4991,100.965,72.5
"1568","ATx2923/RTx2913","ATx2923","RTx2913","19CS",147.32,3410.58105,109.22,72.5
"1571","ATx2923/RTx2917","ATx2923","RTx2917","19CS",128.27,3596.0069,100.965,69.5
"1576","ATx2923/RTx2936","ATx2923","RTx2936","19CS",149.86,3150.56015,96.52,71.25
"1588","ATx2924/R04060","ATx2924","R04060","19CS",140.97,4030.2733,111.125,70
"1591","ATx2924/R05386","ATx2924","R05386","19CS",135.89,3788.947,95.25,68.25
"1592","ATx2924/R05393","ATx2924","R05393","19CS",142.24,2403.93625,98.425,71.25
"1595","ATx2924/R05512","ATx2924","R05512","19CS",147.32,2951.10155,97.155,69.75
"1598","ATx2924/R08224","ATx2924","R08224","19CS",171.45,2609.09975,109.855,70.5
"1603","ATx2924/R11158","ATx2924","R11158","19CS",161.29,3498.463,103.505,68.25
"1606","ATx2924/R12145","ATx2924","R12145","19CS",142.24,3308.55985,103.505,71.25
"1616","ATx2924/RTx2918","ATx2924","RTx2918","19CS",146.05,3793.65105,103.505,68.5
"1618","ATx2924/RTx2920","ATx2924","RTx2920","19CS",134.62,3443.9644,93.98,68.25
"1620","ATx2924/RTx2936","ATx2924","RTx2936","19CS",162.56,3216.6209,99.06,70
"1624","ATx2924/RTx2940","ATx2924","RTx2940","19CS",133.35,3724.0702,99.06,68.5
"1625","ATx2924/RTx2941","ATx2924","RTx2941","19CS",147.32,2935.02245,101.6,71.25
"1629","ATx2926/R01302","ATx2926","R01302","19CS",147.32,2725.7606,104.14,71
"1636","ATx2926/R05393","ATx2926","R05393","19CS",139.7,2353.6151,100.33,71.75
"1637","ATx2926/R05405","ATx2926","R05405","19CS",167.64,3390.8421,94.615,68.75
"1640","ATx2926/R07161","ATx2926","R07161","19CS",160.02,3388.2485,116.205,69.5
"1643","ATx2926/R08297","ATx2926","R08297","19CS",142.24,3711.0818,102.235,68.75
"1645","ATx2926/R08304","ATx2926","R08304","19CS",165.1,3860.9433,108.585,68.75
"1652","ATx2926/R12154","ATx2926","R12154","19CS",130.81,3314.10455,102.235,70.75
"1656","ATx2926/RTx2913","ATx2926","RTx2913","19CS",151.13,3426.32065,113.665,71.75
"1659","ATx2926/RTx2917","ATx2926","RTx2917","19CS",138.43,3611.7465,105.41,68.75
"1661","ATx2926/RTx2919","ATx2926","RTx2919","19CS",142.24,3324.17005,100.33,68.75
