pedigree,female,male,env,blue
A07124/RTx2917,A07124,RTx2917,19CS,66.5
A07124/RTx2919,A07124,RTx2919,19CS,66.63
A07124/RTx2935,A07124,RTx2935,19CS,67.07
A07124/RTx2943,A07124,RTx2943,19CS,66.71
A08068/R03248,A08068,R03248,19CS,68.935
A08068/R07161,A08068,R07161,19CS,67.125
A08068/R11158,A08068,R11158,19CS,66.965
A08068/R12156,A08068,R12156,19CS,68.7
A08068/RTx2919,A08068,RTx2919,19CS,68.625
A08068/RTx2941,A08068,RTx2941,19CS,67.455
A08134/R02107,A08134,R02107,19CS,68.68
A08134/R04060,A08134,R04060,19CS,67.82
A08134/R05405,A08134,R05405,19CS,66.765
A08134/R07178,A08134,R07178,19CS,66.585
A08134/R08297,A08134,R08297,19CS,68.19
A08134/R11158,A08134,R11158,19CS,66.075
A08134/R12148,A08134,R12148,19CS,67.69
A08134/RTx2918,A08134,RTx2918,19CS,67.77
A08134/RTx2936,A08134,RTx2936,19CS,67.16
A08134/RTx2940,A08134,RTx2940,19CS,67.385
A08134/RTx2943,A08134,RTx2943,19CS,67.41
A08140/R04060,A08140,R04060,19CS,68.615
A08140/R04104,A08140,R04104,19CS,66.725
A08140/R05386,A08140,R05386,19CS,68.475
A08140/R07178,A08140,R07178,19CS,68.015
A08140/R08303,A08140,R08303,19CS,69.7
A08140/R12148,A08140,R12148,19CS,67.475
A08140/R12156,A08140,R12156,19CS,69.22
A08140/RTx2942,A08140,RTx2942,19CS,67.815
A08158/R01302,A08158,R01302,19CS,67.375
A08158/R03248,A08158,R03248,19CS,67.23
A08158/R05330,A08158,R05330,19CS,67.625
A08158/R07178,A08158,R07178,19CS,66.975
A08158/R08224,A08158,R08224,19CS,66.07
A08158/R12071,A08158,R12071,19CS,67.96
A08158/R12145,A08158,R12145,19CS,67.685
A08158/R12154,A08158,R12154,19CS,66.7
A08158/RTx2912,A08158,RTx2912,19CS,67.035
A08158/RTx2914,A08158,RTx2914,19CS,65.435
A08158/RTx2917,A08158,RTx2917,19CS,66.375
A08158/RTx2939,A08158,RTx2939,19CS,66.935
A11076/R04060,A11076,R04060,19CS,68.64
A11076/R07178,A11076,R07178,19CS,67.125
A11076/R08297,A11076,R08297,19CS,67.67
A11076/R12148,A11076,R12148,19CS,66.58
A11076/R12154,A11076,R12154,19CS,67.42
A11076/RTx2918,A11076,RTx2918,19CS,67.847
A11076/RTx2938,A11076,RTx2938,19CS,67.93
A11076/RTx2940,A11076,RTx2940,19CS,67.3
A11085/R02107,A11085,R02107,19CS,68.37
A11085/R03248,A11085,R03248,19CS,67.375
A11085/R04104,A11085,R04104,19CS,66.415
A11085/R07178,A11085,R07178,19CS,66.53
A11085/R12148,A11085,R12148,19CS,66.815
A11085/RTx2942,A11085,RTx2942,19CS,66.115
A11085/RTx2944,A11085,RTx2944,19CS,68.055
AHF14/R07161,AHF14,R07161,19CS,67.49
AHF14/RTx2943,AHF14,RTx2943,19CS,69.32
AKS116/R02107,AKS116,R02107,19CS,68.06
AKS116/R08303,AKS116,R08303,19CS,67.535
AKS116/R12154,AKS116,R12154,19CS,67.9
AKS116/RTx2917,AKS116,RTx2917,19CS,68.095
AKS116/RTx2920,AKS116,RTx2920,19CS,67.295
AKS116/RTx2936,AKS116,RTx2936,19CS,67.11
AKS116/RTx2940,AKS116,RTx2940,19CS,66.025
AKS116/RTx2942,AKS116,RTx2942,19CS,66.95
AKS116/RTx2944,AKS116,RTx2944,19CS,67.29
AKS117/R01302,AKS117,R01302,19CS,66.915
AKS117/R12148,AKS117,R12148,19CS,67.425
AKS117/RTx2914,AKS117,RTx2914,19CS,66.28
AKS117/RTx2942,AKS117,RTx2942,19CS,67.095
AKS118/R08303,AKS118,R08303,19CS,67.74
AKS118/R12156,AKS118,R12156,19CS,67.75
AKS118/RTx2912,AKS118,RTx2912,19CS,67.005
AKS118/RTx2916,AKS118,RTx2916,19CS,66.195
AKS118/RTx2918,AKS118,RTx2918,19CS,67.015
AKS118/RTx2935,AKS118,RTx2935,19CS,67.175
AKS118/RTx2943,AKS118,RTx2943,19CS,67.68
AKS119/R01302,AKS119,R01302,19CS,67.31
AKS119/R05386,AKS119,R05386,19CS,67.04
AKS119/R05393,AKS119,R05393,19CS,66.795
AKS119/R05512,AKS119,R05512,19CS,66.475
AKS119/R08304,AKS119,R08304,19CS,68.54
AKS119/RTx2914,AKS119,RTx2914,19CS,66.79
AKS119/RTx2918,AKS119,RTx2918,19CS,67.675
AKS119/RTx2919,AKS119,RTx2919,19CS,67.52
AKS120/R04060,AKS120,R04060,19CS,68.055
AKS120/R05425,AKS120,R05425,19CS,66.23
AKS120/R07161,AKS120,R07161,19CS,66.315
AKS120/R08303,AKS120,R08303,19CS,68.045
AKS120/R08306,AKS120,R08306,19CS,68.085
AKS120/R12071,AKS120,R12071,19CS,68.1
AKS120/RTx2918,AKS120,RTx2918,19CS,67.605
AKS120/RTx2935,AKS120,RTx2935,19CS,66.825
AKS120/RTx2942,AKS120,RTx2942,19CS,67.51
AN263/R08224,AN263,R08224,19CS,66.02
AN263/R11208,AN263,R11208,19CS,68.21
AN263/R12148,AN263,R12148,19CS,67.665
AN263/RTx2935,AN263,RTx2935,19CS,67.845
AN263/RTx2936,AN263,RTx2936,19CS,67.195
AN263/RTx2938,AN263,RTx2938,19CS,66.395
AN268/R11158,AN268,R11158,19CS,66.935
AN268/R12148,AN268,R12148,19CS,67.24
AN268/R12154,AN268,R12154,19CS,66.36
AN290/R02107,AN290,R02107,19CS,67.97
AN290/R03248,AN290,R03248,19CS,68.105
AN290/R05386,AN290,R05386,19CS,67.78
AN290/R07161,AN290,R07161,19CS,66.445
AN290/R12154,AN290,R12154,19CS,68.605
AN290/RTx2917,AN290,RTx2917,19CS,67.455
AN290/RTx2920,AN290,RTx2920,19CS,67.725
AN290/RTx2942,AN290,RTx2942,19CS,67.18
AN290/RTx2943,AN290,RTx2943,19CS,68.465
ATx2921/R01302,ATx2921,R01302,19CS,68.36
ATx2921/R05330,ATx2921,R05330,19CS,68.35
ATx2921/R05405,ATx2921,R05405,19CS,68.27
ATx2921/R07178,ATx2921,R07178,19CS,67.67
ATx2921/R12145,ATx2921,R12145,19CS,68.25
ATx2921/R12157,ATx2921,R12157,19CS,67.81
ATx2921/RTx2914,ATx2921,RTx2914,19CS,68
ATx2921/RTx2918,ATx2921,RTx2918,19CS,67.34
ATx2923/R03248,ATx2923,R03248,19CS,68.12
ATx2923/R04104,ATx2923,R04104,19CS,67.305
ATx2923/R05330,ATx2923,R05330,19CS,67.485
ATx2923/R05405,ATx2923,R05405,19CS,67.195
ATx2923/R05425,ATx2923,R05425,19CS,67.245
ATx2923/R08297,ATx2923,R08297,19CS,68.145
ATx2923/R11158,ATx2923,R11158,19CS,67.78
ATx2923/R11208,ATx2923,R11208,19CS,67.95
ATx2923/R12145,ATx2923,R12145,19CS,67.575
ATx2923/RTx2913,ATx2923,RTx2913,19CS,67.885
ATx2923/RTx2917,ATx2923,RTx2917,19CS,66.85
ATx2923/RTx2936,ATx2923,RTx2936,19CS,67.375
ATx2924/R04060,ATx2924,R04060,19CS,67.205
ATx2924/R05386,ATx2924,R05386,19CS,67.025
ATx2924/R05393,ATx2924,R05393,19CS,67.33
ATx2924/R05512,ATx2924,R05512,19CS,66.595
ATx2924/R08224,ATx2924,R08224,19CS,67.2
ATx2924/R11158,ATx2924,R11158,19CS,67.045
ATx2924/R12145,ATx2924,R12145,19CS,67.335
ATx2924/RTx2918,ATx2924,RTx2918,19CS,67.21
ATx2924/RTx2920,ATx2924,RTx2920,19CS,67.465
ATx2924/RTx2936,ATx2924,RTx2936,19CS,66.54
ATx2924/RTx2940,ATx2924,RTx2940,19CS,67.92
