"","gy","ph","dy"
"A05210/RTx2914",3354.06035,113.03,70
"A05210/RTx2916",3011.20625,108.585,71.5
"A05210/RTx2917",3709.5441,111.76,68.5
"A05210/RTx2918",3841.1275,111.76,68.75
"A05210/RTx2919",3421.96765,106.68,68.5
"A05210/RTx2920",3491.44085,102.235,68.5
"A05210/RTx2935",3601.648,108.585,68.75
"A05210/RTx2936",3264.09735,107.315,70.25
"A05210/RTx2937",3702.9192,110.49,68.75
"A05210/RTx2938",2218.05265,100.33,72.25
"A05210/RTx2939",2566.22865,121.74345,72.6128
"A05210/RTx2940",3771.54665,107.315,68.75
"A05210/RTx2941",2982.4989,109.855,71.5
"A05210/RTx2942",3879.94285,114.935,68
"A05210/RTx2943",3361.41055,116.84,71.5
"A05210/RTx2944",3063.68165,108.585,68.5
"A05269/R01302",3259.5507,107.315,71
"A05269/R02107",2905.45515,110.49,71
"A05269/R03248",4162.3898,100.33,69.25
"A05269/R04060",4513.74225,116.205,70.5
"A05269/R04104",4512.589,109.855,68.75
"A05269/R05330",3717.8592,116.84,71.75
"A05269/R05386",4272.41595,100.33,68.75
"A05269/R05393",2887.4052,103.505,71.75
"A05269/R05405",3924.6322,97.79,68.75
"A05269/R05425",3551.15735,97.79,69
"A05269/R05512",3434.5705,102.235,70.25
"A05269/R07161",3922.0386,119.38,69.5
"A05269/R07178",4188.2718,102.235,68.75
"A05269/R08224",3092.5687,114.935,71
"A05269/R08297",4244.8719,105.41,68.75
"A05269/R08303",4083.5738,97.79,68.75
"A05269/R08304",4394.7334,111.76,68.75
"A05269/R08306",4339.15205,105.41,68.75
"A05269/R11158",3981.93195,108.585,68.75
"A05269/R11208",3847.70885,95.885,69
"A05269/R12071",4066.3285,105.41,70.25
"A05269/R12145",3792.0288,108.585,71.75
"A05269/R12148",4039.31245,108.585,71
"A05269/R12154",3847.89465,105.41,70.75
"A05269/R12156",4234.3169,113.03,71.75
"A05269/R12157",4398.4034,113.665,70.25
"A05269/RTx2912",2692.72365,102.235,71.75
"A05269/RTx2913",3960.11075,116.84,71.75
"A05269/RTx2914",3790.05285,109.855,70.25
"A05269/RTx2916",3447.19875,105.41,71.75
"A05269/RTx2917",4145.5366,108.585,68.75
"A05269/RTx2918",4277.12,108.585,69
"A05269/RTx2919",3857.96015,103.505,68.75
"A05269/RTx2920",3927.43335,99.06,68.75
"A05269/RTx2935",4037.6405,105.41,69
"A05269/RTx2936",3700.08985,104.14,70.5
"A05269/RTx2937",4138.9117,107.315,69
"A05269/RTx2938",2654.04515,97.155,72.5
"A05269/RTx2939",3002.22115,118.56845,72.8628
"A05269/RTx2940",4207.53915,104.14,69
"A05269/RTx2941",3418.4914,106.68,71.75
"A05269/RTx2942",4315.93535,111.76,68.25
"A05269/RTx2943",3797.40305,113.665,71.75
"A05269/RTx2944",3499.67415,105.41,68.75
"A06035/R01302",2786.13575,95.885,70.25
"A06035/R02107",2432.0402,99.06,70.25
"A06035/R03248",3688.97485,88.9,68.5
"A06035/R04060",4040.3273,104.775,69.75
"A06035/R04104",4039.17405,98.425,68
"A06035/R05330",3244.44425,105.41,71
"A06035/R05386",3799.001,88.9,68
"A06035/R05393",2413.99025,92.075,71
"A06035/R05405",3451.21725,86.36,68
"A06035/R05425",3077.7424,86.36,68.25
"A06035/R05512",2961.15555,90.805,69.5
"A06035/R07161",3448.62365,107.95,68.75
"A06035/R07178",3714.85685,90.805,68
"A06035/R08224",2619.15375,103.505,70.25
"A06035/R08297",3771.45695,93.98,68
"A06035/R08303",3610.15885,86.36,68
"A06035/R08304",3921.31845,100.33,68
"A06035/R08306",3865.7371,93.98,68
"A06035/R11158",3508.517,97.155,68
"A06035/R11208",3374.2939,84.455,68.25
"A06035/R12071",3592.91355,93.98,69.5
"A06035/R12145",3318.61385,97.155,71
"A06035/R12148",3565.8975,97.155,70.25
"A06035/R12154",3374.4797,93.98,70
"A06035/R12156",3760.90195,101.6,71
"A06035/R12157",3924.98845,102.235,69.5
"A06035/RTx2912",2219.3087,90.805,71
"A06035/RTx2913",3486.6958,105.41,71
"A06035/RTx2914",3316.6379,98.425,69.5
"A06035/RTx2916",2973.7838,93.98,71
"A06035/RTx2917",3672.12165,97.155,68
"A06035/RTx2918",3803.70505,97.155,68.25
"A06035/RTx2919",3384.5452,92.075,68
"A06035/RTx2920",3454.0184,87.63,68
"A06035/RTx2935",3564.22555,93.98,68.25
"A06035/RTx2936",3226.6749,92.71,69.75
"A06035/RTx2937",3665.49675,95.885,68.25
"A06035/RTx2938",2180.6302,85.725,71.75
"A06035/RTx2939",2528.8062,107.13845,72.1128
"A06035/RTx2940",3734.1242,92.71,68.25
"A06035/RTx2941",2945.07645,95.25,71
"A06035/RTx2942",3842.5204,100.33,67.5
"A06035/RTx2943",3323.9881,102.235,71
"A06035/RTx2944",3026.2592,93.98,68
"A06036/R01302",2140.9358,97.79,71.5
"A06036/R02107",1786.84025,100.965,71.5
"A06036/R03248",3043.7749,90.805,69.75
"A06036/R04060",3395.12735,106.68,71
"A06036/R04104",3393.9741,100.33,69.25
"A06036/R05330",2599.2443,107.315,72.25
"A06036/R05386",3153.80105,90.805,69.25
"A06036/R05393",1768.7903,93.98,72.25
"A06036/R05405",2806.0173,88.265,69.25
"A06036/R05425",2432.54245,88.265,69.5
"A06036/R05512",2315.9556,92.71,70.75
"A06036/R07161",2803.4237,109.855,70
"A06036/R07178",3069.6569,92.71,69.25
"A06036/R08224",1973.9538,105.41,71.5
"A06036/R08297",3126.257,95.885,69.25
"A06036/R08303",2964.9589,88.265,69.25
"A06036/R08304",3276.1185,102.235,69.25
"A06036/R08306",3220.53715,95.885,69.25
"A06036/R11158",2863.31705,99.06,69.25
"A06036/R11208",2729.09395,86.36,69.5
"A06036/R12071",2947.7136,95.885,70.75
"A06036/R12145",2673.4139,99.06,72.25
"A06036/R12148",2920.69755,99.06,71.5
"A06036/R12154",2729.27975,95.885,71.25
"A06036/R12156",3115.702,103.505,72.25
"A06036/R12157",3279.7885,104.14,70.75
"A06036/RTx2912",1574.10875,92.71,72.25
"A06036/RTx2913",2841.49585,107.315,72.25
"A06036/RTx2914",2671.43795,100.33,70.75
"A06036/RTx2916",2328.58385,95.885,72.25
"A06036/RTx2917",3026.9217,99.06,69.25
"A06036/RTx2918",3158.5051,99.06,69.5
"A06036/RTx2919",2739.34525,93.98,69.25
"A06036/RTx2920",2808.81845,89.535,69.25
"A06036/RTx2935",2919.0256,95.885,69.5
"A06036/RTx2936",2581.47495,94.615,71
"A06036/RTx2937",3020.2968,97.79,69.5
"A06036/RTx2938",1535.43025,87.63,73
"A06036/RTx2939",1883.60625,109.04345,73.3628
"A06036/RTx2940",3088.92425,94.615,69.5
"A06036/RTx2941",2299.8765,97.155,72.25
"A06036/RTx2942",3197.32045,102.235,68.75
"A06036/RTx2943",2678.78815,104.14,72.25
"A06036/RTx2944",2381.05925,95.885,69.25
"A07118/R01302",3045.14435,99.06,70.25
"A07118/R02107",2691.0488,102.235,70.25
"A07118/R03248",3947.98345,92.075,68.5
"A07118/R04060",4299.3359,107.95,69.75
"A07118/R04104",4298.18265,101.6,68
"A07118/R05330",3503.45285,108.585,71
"A07118/R05386",4058.0096,92.075,68
"A07118/R05393",2672.99885,95.25,71
"A07118/R05405",3710.22585,89.535,68
"A07118/R05425",3336.751,89.535,68.25
"A07118/R05512",3220.16415,93.98,69.5
"A07118/R07161",3707.63225,111.125,68.75
"A07118/R07178",3973.86545,93.98,68
"A07118/R08224",2878.16235,106.68,70.25
"A07118/R08297",4030.46555,97.155,68
"A07118/R08303",3869.16745,89.535,68
"A07118/R08304",4180.32705,103.505,68
"A07118/R08306",4124.7457,97.155,68
"A07118/R11158",3767.5256,100.33,68
"A07118/R11208",3633.3025,87.63,68.25
"A07118/R12071",3851.92215,97.155,69.5
"A07118/R12145",3577.62245,100.33,71
"A07118/R12148",3824.9061,100.33,70.25
"A07118/R12154",3633.4883,97.155,70
"A07118/R12156",4019.91055,104.775,71
"A07118/R12157",4183.99705,105.41,69.5
"A07118/RTx2912",2478.3173,93.98,71
"A07118/RTx2913",3745.7044,108.585,71
"A07118/RTx2914",3575.6465,101.6,69.5
"A07118/RTx2916",3232.7924,97.155,71
"A07118/RTx2917",3931.13025,100.33,68
"A07118/RTx2918",4062.71365,100.33,68.25
"A07118/RTx2919",3643.5538,95.25,68
"A07118/RTx2920",3713.027,90.805,68
"A07118/RTx2935",3823.23415,97.155,68.25
"A07118/RTx2936",3485.6835,95.885,69.75
"A07118/RTx2937",3924.50535,99.06,68.25
"A07118/RTx2938",2439.6388,88.9,71.75
"A07118/RTx2939",2787.8148,110.31345,72.1128
"A07118/RTx2940",3993.1328,95.885,68.25
"A07118/RTx2941",3204.08505,98.425,71
"A07118/RTx2942",4101.529,103.505,67.5
"A07118/RTx2943",3582.9967,105.41,71
"A07118/RTx2944",3285.2678,97.155,68
"A07124/R01302",2954.852,99.06,70.25
"A07124/R02107",2600.75645,102.235,70.25
"A07124/R03248",3857.6911,92.075,68.5
"A07124/R04060",4209.04355,107.95,69.75
"A07124/R04104",4207.8903,101.6,68
"A07124/R05330",3413.1605,108.585,71
"A07124/R05386",3967.71725,92.075,68
"A07124/R05393",2582.7065,95.25,71
"A07124/R05405",3619.9335,89.535,68
"A07124/R05425",3246.45865,89.535,68.25
"A07124/R05512",3129.8718,93.98,69.5
"A07124/R07161",3617.3399,111.125,68.75
"A07124/R07178",3883.5731,93.98,68
"A07124/R08224",2787.87,106.68,70.25
"A07124/R08297",3940.1732,97.155,68
"A07124/R08303",3778.8751,89.535,68
"A07124/R08304",4090.0347,103.505,68
"A07124/R08306",4034.45335,97.155,68
"A07124/R11158",3677.23325,100.33,68
"A07124/R11208",3543.01015,87.63,68.25
"A07124/R12071",3761.6298,97.155,69.5
"A07124/R12145",3487.3301,100.33,71
"A07124/R12148",3734.61375,100.33,70.25
"A07124/R12154",3543.19595,97.155,70
"A07124/R12156",3929.6182,104.775,71
"A07124/R12157",4093.7047,105.41,69.5
"A07124/RTx2912",2388.02495,93.98,71
"A07124/RTx2913",3655.41205,108.585,71
"A07124/RTx2914",3485.35415,101.6,69.5
"A07124/RTx2916",3142.50005,97.155,71
"A07124/RTx2917",3840.8379,100.33,68
"A07124/RTx2918",3972.4213,100.33,68.25
"A07124/RTx2919",3553.26145,95.25,68
"A07124/RTx2920",3622.73465,90.805,68
"A07124/RTx2935",3732.9418,97.155,68.25
"A07124/RTx2936",3395.39115,95.885,69.75
"A07124/RTx2937",3834.213,99.06,68.25
"A07124/RTx2938",2349.34645,88.9,71.75
"A07124/RTx2939",2697.52245,110.31345,72.1128
"A07124/RTx2940",3902.84045,95.885,68.25
"A07124/RTx2941",3113.7927,98.425,71
"A07124/RTx2942",4011.23665,103.505,67.5
"A07124/RTx2943",3492.70435,105.41,71
"A07124/RTx2944",3194.97545,97.155,68
"A08068/R01302",2837.368,97.79,72.5
"A08068/R02107",2483.27245,100.965,72.5
"A08068/R03248",3740.2071,90.805,70.75
"A08068/R04060",4091.55955,106.68,72
"A08068/R04104",4090.4063,100.33,70.25
"A08068/R05330",3295.6765,107.315,73.25
"A08068/R05386",3850.23325,90.805,70.25
"A08068/R05393",2465.2225,93.98,73.25
"A08068/R05405",3502.4495,88.265,70.25
"A08068/R05425",3128.97465,88.265,70.5
"A08068/R05512",3012.3878,92.71,71.75
"A08068/R07161",3499.8559,109.855,71
"A08068/R07178",3766.0891,92.71,70.25
"A08068/R08224",2670.386,105.41,72.5
"A08068/R08297",3822.6892,95.885,70.25
"A08068/R08303",3661.3911,88.265,70.25
"A08068/R08304",3972.5507,102.235,70.25
"A08068/R08306",3916.96935,95.885,70.25
"A08068/R11158",3559.74925,99.06,70.25
"A08068/R11208",3425.52615,86.36,70.5
"A08068/R12071",3644.1458,95.885,71.75
"A08068/R12145",3369.8461,99.06,73.25
"A08068/R12148",3617.12975,99.06,72.5
"A08068/R12154",3425.71195,95.885,72.25
"A08068/R12156",3812.1342,103.505,73.25
"A08068/R12157",3976.2207,104.14,71.75
"A08068/RTx2912",2270.54095,92.71,73.25
"A08068/RTx2913",3537.92805,107.315,73.25
"A08068/RTx2914",3367.87015,100.33,71.75
"A08068/RTx2916",3025.01605,95.885,73.25
"A08068/RTx2917",3723.3539,99.06,70.25
"A08068/RTx2918",3854.9373,99.06,70.5
"A08068/RTx2919",3435.77745,93.98,70.25
"A08068/RTx2920",3505.25065,89.535,70.25
"A08068/RTx2935",3615.4578,95.885,70.5
"A08068/RTx2936",3277.90715,94.615,72
"A08068/RTx2937",3716.729,97.79,70.5
"A08068/RTx2938",2231.86245,87.63,74
"A08068/RTx2939",2580.03845,109.04345,74.3628
"A08068/RTx2940",3785.35645,94.615,70.5
"A08068/RTx2941",2996.3087,97.155,73.25
"A08068/RTx2942",3893.75265,102.235,69.75
"A08068/RTx2943",3375.22035,104.14,73.25
"A08068/RTx2944",3077.49145,95.885,70.25
"A08134/R01302",2607.32325,102.87,70.25
"A08134/R02107",2253.2277,106.045,70.25
"A08134/R03248",3510.16235,95.885,68.5
"A08134/R04060",3861.5148,111.76,69.75
"A08134/R04104",3860.36155,105.41,68
"A08134/R05330",3065.63175,112.395,71
"A08134/R05386",3620.1885,95.885,68
"A08134/R05393",2235.17775,99.06,71
"A08134/R05405",3272.40475,93.345,68
"A08134/R05425",2898.9299,93.345,68.25
"A08134/R05512",2782.34305,97.79,69.5
"A08134/R07161",3269.81115,114.935,68.75
"A08134/R07178",3536.04435,97.79,68
"A08134/R08224",2440.34125,110.49,70.25
"A08134/R08297",3592.64445,100.965,68
"A08134/R08303",3431.34635,93.345,68
"A08134/R08304",3742.50595,107.315,68
"A08134/R08306",3686.9246,100.965,68
"A08134/R11158",3329.7045,104.14,68
"A08134/R11208",3195.4814,91.44,68.25
"A08134/R12071",3414.10105,100.965,69.5
"A08134/R12145",3139.80135,104.14,71
"A08134/R12148",3387.085,104.14,70.25
"A08134/R12154",3195.6672,100.965,70
"A08134/R12156",3582.08945,108.585,71
"A08134/R12157",3746.17595,109.22,69.5
"A08134/RTx2912",2040.4962,97.79,71
"A08134/RTx2913",3307.8833,112.395,71
"A08134/RTx2914",3137.8254,105.41,69.5
"A08134/RTx2916",2794.9713,100.965,71
"A08134/RTx2917",3493.30915,104.14,68
"A08134/RTx2918",3624.89255,104.14,68.25
"A08134/RTx2919",3205.7327,99.06,68
"A08134/RTx2920",3275.2059,94.615,68
"A08134/RTx2935",3385.41305,100.965,68.25
"A08134/RTx2936",3047.8624,99.695,69.75
"A08134/RTx2937",3486.68425,102.87,68.25
"A08134/RTx2938",2001.8177,92.71,71.75
"A08134/RTx2939",2349.9937,114.12345,72.1128
"A08134/RTx2940",3555.3117,99.695,68.25
"A08134/RTx2941",2766.26395,102.235,71
"A08134/RTx2942",3663.7079,107.315,67.5
"A08134/RTx2943",3145.1756,109.22,71
"A08134/RTx2944",2847.4467,100.965,68
"A08140/R01302",2593.5903,94.615,70.75
"A08140/R02107",2239.49475,97.79,70.75
"A08140/R03248",3496.4294,87.63,69
"A08140/R04060",3847.78185,103.505,70.25
"A08140/R04104",3846.6286,97.155,68.5
"A08140/R05330",3051.8988,104.14,71.5
"A08140/R05386",3606.45555,87.63,68.5
"A08140/R05393",2221.4448,90.805,71.5
"A08140/R05405",3258.6718,85.09,68.5
"A08140/R05425",2885.19695,85.09,68.75
"A08140/R05512",2768.6101,89.535,70
"A08140/R07161",3256.0782,106.68,69.25
"A08140/R07178",3522.3114,89.535,68.5
"A08140/R08224",2426.6083,102.235,70.75
"A08140/R08297",3578.9115,92.71,68.5
"A08140/R08303",3417.6134,85.09,68.5
"A08140/R08304",3728.773,99.06,68.5
"A08140/R08306",3673.19165,92.71,68.5
"A08140/R11158",3315.97155,95.885,68.5
"A08140/R11208",3181.74845,83.185,68.75
"A08140/R12071",3400.3681,92.71,70
"A08140/R12145",3126.0684,95.885,71.5
"A08140/R12148",3373.35205,95.885,70.75
"A08140/R12154",3181.93425,92.71,70.5
"A08140/R12156",3568.3565,100.33,71.5
"A08140/R12157",3732.443,100.965,70
"A08140/RTx2912",2026.76325,89.535,71.5
"A08140/RTx2913",3294.15035,104.14,71.5
"A08140/RTx2914",3124.09245,97.155,70
"A08140/RTx2916",2781.23835,92.71,71.5
"A08140/RTx2917",3479.5762,95.885,68.5
"A08140/RTx2918",3611.1596,95.885,68.75
"A08140/RTx2919",3191.99975,90.805,68.5
"A08140/RTx2920",3261.47295,86.36,68.5
"A08140/RTx2935",3371.6801,92.71,68.75
"A08140/RTx2936",3034.12945,91.44,70.25
"A08140/RTx2937",3472.9513,94.615,68.75
"A08140/RTx2938",1988.08475,84.455,72.25
"A08140/RTx2939",2336.26075,105.86845,72.6128
"A08140/RTx2940",3541.57875,91.44,68.75
"A08140/RTx2941",2752.531,93.98,71.5
"A08140/RTx2942",3649.97495,99.06,68
"A08140/RTx2943",3131.44265,100.965,71.5
"A08140/RTx2944",2833.71375,92.71,68.5
"A08158/R01302",3008.6253,110.49,71
"A08158/R02107",2654.52975,113.665,71
"A08158/R03248",3911.4644,103.505,69.25
"A08158/R04060",4262.81685,119.38,70.5
"A08158/R04104",4261.6636,113.03,68.75
"A08158/R05330",3466.9338,120.015,71.75
"A08158/R05386",4021.49055,103.505,68.75
"A08158/R05393",2636.4798,106.68,71.75
"A08158/R05405",3673.7068,100.965,68.75
"A08158/R05425",3300.23195,100.965,69
"A08158/R05512",3183.6451,105.41,70.25
"A08158/R07161",3671.1132,122.555,69.5
"A08158/R07178",3937.3464,105.41,68.75
"A08158/R08224",2841.6433,118.11,71
"A08158/R08297",3993.9465,108.585,68.75
"A08158/R08303",3832.6484,100.965,68.75
"A08158/R08304",4143.808,114.935,68.75
"A08158/R08306",4088.22665,108.585,68.75
"A08158/R11158",3731.00655,111.76,68.75
"A08158/R11208",3596.78345,99.06,69
"A08158/R12071",3815.4031,108.585,70.25
"A08158/R12145",3541.1034,111.76,71.75
"A08158/R12148",3788.38705,111.76,71
"A08158/R12154",3596.96925,108.585,70.75
"A08158/R12156",3983.3915,116.205,71.75
"A08158/R12157",4147.478,116.84,70.25
"A08158/RTx2912",2441.79825,105.41,71.75
"A08158/RTx2913",3709.18535,120.015,71.75
"A08158/RTx2914",3539.12745,113.03,70.25
"A08158/RTx2916",3196.27335,108.585,71.75
"A08158/RTx2917",3894.6112,111.76,68.75
"A08158/RTx2918",4026.1946,111.76,69
"A08158/RTx2919",3607.03475,106.68,68.75
"A08158/RTx2920",3676.50795,102.235,68.75
"A08158/RTx2935",3786.7151,108.585,69
"A08158/RTx2936",3449.16445,107.315,70.5
"A08158/RTx2937",3887.9863,110.49,69
"A08158/RTx2938",2403.11975,100.33,72.5
"A08158/RTx2939",2751.29575,121.74345,72.8628
"A08158/RTx2940",3956.61375,107.315,69
"A08158/RTx2941",3167.566,109.855,71.75
"A08158/RTx2942",4065.00995,114.935,68.25
"A08158/RTx2943",3546.47765,116.84,71.75
"A08158/RTx2944",3248.74875,108.585,68.75
"A11076/R01302",3037.4366,99.695,69.75
"A11076/R02107",2683.34105,102.87,69.75
"A11076/R03248",3940.2757,92.71,68
"A11076/R04060",4291.62815,108.585,69.25
"A11076/R04104",4290.4749,102.235,67.5
"A11076/R05330",3495.7451,109.22,70.5
"A11076/R05386",4050.30185,92.71,67.5
"A11076/R05393",2665.2911,95.885,70.5
"A11076/R05405",3702.5181,90.17,67.5
"A11076/R05425",3329.04325,90.17,67.75
"A11076/R05512",3212.4564,94.615,69
"A11076/R07161",3699.9245,111.76,68.25
"A11076/R07178",3966.1577,94.615,67.5
"A11076/R08224",2870.4546,107.315,69.75
"A11076/R08297",4022.7578,97.79,67.5
"A11076/R08303",3861.4597,90.17,67.5
"A11076/R08304",4172.6193,104.14,67.5
"A11076/R08306",4117.03795,97.79,67.5
"A11076/R11158",3759.81785,100.965,67.5
"A11076/R11208",3625.59475,88.265,67.75
"A11076/R12071",3844.2144,97.79,69
"A11076/R12145",3569.9147,100.965,70.5
"A11076/R12148",3817.19835,100.965,69.75
"A11076/R12154",3625.78055,97.79,69.5
"A11076/R12156",4012.2028,105.41,70.5
"A11076/R12157",4176.2893,106.045,69
"A11076/RTx2912",2470.60955,94.615,70.5
"A11076/RTx2913",3737.99665,109.22,70.5
"A11076/RTx2914",3567.93875,102.235,69
"A11076/RTx2916",3225.08465,97.79,70.5
"A11076/RTx2917",3923.4225,100.965,67.5
"A11076/RTx2918",4055.0059,100.965,67.75
"A11076/RTx2919",3635.84605,95.885,67.5
"A11076/RTx2920",3705.31925,91.44,67.5
"A11076/RTx2935",3815.5264,97.79,67.75
"A11076/RTx2936",3477.97575,96.52,69.25
"A11076/RTx2937",3916.7976,99.695,67.75
"A11076/RTx2938",2431.93105,89.535,71.25
"A11076/RTx2939",2780.10705,110.94845,71.6128
"A11076/RTx2940",3985.42505,96.52,67.75
"A11076/RTx2941",3196.3773,99.06,70.5
"A11076/RTx2942",4093.82125,104.14,67
"A11076/RTx2943",3575.28895,106.045,70.5
"A11076/RTx2944",3277.56005,97.79,67.5
"A11085/R01302",2182.2972,102.235,70.25
"A11085/R02107",1828.20165,105.41,70.25
"A11085/R03248",3085.1363,95.25,68.5
"A11085/R04060",3436.48875,111.125,69.75
"A11085/R04104",3435.3355,104.775,68
"A11085/R05330",2640.6057,111.76,71
"A11085/R05386",3195.16245,95.25,68
"A11085/R05393",1810.1517,98.425,71
"A11085/R05405",2847.3787,92.71,68
"A11085/R05425",2473.90385,92.71,68.25
"A11085/R05512",2357.317,97.155,69.5
"A11085/R07161",2844.7851,114.3,68.75
"A11085/R07178",3111.0183,97.155,68
"A11085/R08224",2015.3152,109.855,70.25
"A11085/R08297",3167.6184,100.33,68
"A11085/R08303",3006.3203,92.71,68
"A11085/R08304",3317.4799,106.68,68
"A11085/R08306",3261.89855,100.33,68
"A11085/R11158",2904.67845,103.505,68
"A11085/R11208",2770.45535,90.805,68.25
"A11085/R12071",2989.075,100.33,69.5
"A11085/R12145",2714.7753,103.505,71
"A11085/R12148",2962.05895,103.505,70.25
"A11085/R12154",2770.64115,100.33,70
"A11085/R12156",3157.0634,107.95,71
"A11085/R12157",3321.1499,108.585,69.5
"A11085/RTx2912",1615.47015,97.155,71
"A11085/RTx2913",2882.85725,111.76,71
"A11085/RTx2914",2712.79935,104.775,69.5
"A11085/RTx2916",2369.94525,100.33,71
"A11085/RTx2917",3068.2831,103.505,68
"A11085/RTx2918",3199.8665,103.505,68.25
"A11085/RTx2919",2780.70665,98.425,68
"A11085/RTx2920",2850.17985,93.98,68
"A11085/RTx2935",2960.387,100.33,68.25
"A11085/RTx2936",2622.83635,99.06,69.75
"A11085/RTx2937",3061.6582,102.235,68.25
"A11085/RTx2938",1576.79165,92.075,71.75
"A11085/RTx2939",1924.96765,113.48845,72.1128
"A11085/RTx2940",3130.28565,99.06,68.25
"A11085/RTx2941",2341.2379,101.6,71
"A11085/RTx2942",3238.68185,106.68,67.5
"A11085/RTx2943",2720.14955,108.585,71
"A11085/RTx2944",2422.42065,100.33,68
"AHF14/R01302",2726.43975,104.14,71.25
"AHF14/R02107",2372.3442,107.315,71.25
"AHF14/R03248",3629.27885,97.155,69.5
"AHF14/R04060",3980.6313,113.03,70.75
"AHF14/R04104",3979.47805,106.68,69
"AHF14/R05330",3184.74825,113.665,72
"AHF14/R05386",3739.305,97.155,69
"AHF14/R05393",2354.29425,100.33,72
"AHF14/R05405",3391.52125,94.615,69
"AHF14/R05425",3018.0464,94.615,69.25
"AHF14/R05512",2901.45955,99.06,70.5
"AHF14/R07161",3388.92765,116.205,69.75
"AHF14/R07178",3655.16085,99.06,69
"AHF14/R08224",2559.45775,111.76,71.25
"AHF14/R08297",3711.76095,102.235,69
"AHF14/R08303",3550.46285,94.615,69
"AHF14/R08304",3861.62245,108.585,69
"AHF14/R08306",3806.0411,102.235,69
"AHF14/R11158",3448.821,105.41,69
"AHF14/R11208",3314.5979,92.71,69.25
"AHF14/R12071",3533.21755,102.235,70.5
"AHF14/R12145",3258.91785,105.41,72
"AHF14/R12148",3506.2015,105.41,71.25
"AHF14/R12154",3314.7837,102.235,71
"AHF14/R12156",3701.20595,109.855,72
"AHF14/R12157",3865.29245,110.49,70.5
"AHF14/RTx2912",2159.6127,99.06,72
"AHF14/RTx2913",3426.9998,113.665,72
"AHF14/RTx2914",3256.9419,106.68,70.5
"AHF14/RTx2916",2914.0878,102.235,72
"AHF14/RTx2917",3612.42565,105.41,69
"AHF14/RTx2918",3744.00905,105.41,69.25
"AHF14/RTx2919",3324.8492,100.33,69
"AHF14/RTx2920",3394.3224,95.885,69
"AHF14/RTx2935",3504.52955,102.235,69.25
"AHF14/RTx2936",3166.9789,100.965,70.75
"AHF14/RTx2937",3605.80075,104.14,69.25
"AHF14/RTx2938",2120.9342,93.98,72.75
"AHF14/RTx2939",2469.1102,115.39345,73.1128
"AHF14/RTx2940",3674.4282,100.965,69.25
"AHF14/RTx2941",2885.38045,103.505,72
"AHF14/RTx2942",3782.8244,108.585,68.5
"AHF14/RTx2943",3264.2921,110.49,72
"AHF14/RTx2944",2966.5632,102.235,69
"AKS116/R01302",2220.9451,93.345,70.25
"AKS116/R02107",1866.84955,96.52,70.25
"AKS116/R03248",3123.7842,86.36,68.5
"AKS116/R04060",3475.13665,102.235,69.75
"AKS116/R04104",3473.9834,95.885,68
"AKS116/R05330",2679.2536,102.87,71
"AKS116/R05386",3233.81035,86.36,68
"AKS116/R05393",1848.7996,89.535,71
"AKS116/R05405",2886.0266,83.82,68
"AKS116/R05425",2512.55175,83.82,68.25
"AKS116/R05512",2395.9649,88.265,69.5
"AKS116/R07161",2883.433,105.41,68.75
"AKS116/R07178",3149.6662,88.265,68
"AKS116/R08224",2053.9631,100.965,70.25
"AKS116/R08297",3206.2663,91.44,68
"AKS116/R08303",3044.9682,83.82,68
"AKS116/R08304",3356.1278,97.79,68
"AKS116/R08306",3300.54645,91.44,68
"AKS116/R11158",2943.32635,94.615,68
"AKS116/R11208",2809.10325,81.915,68.25
"AKS116/R12071",3027.7229,91.44,69.5
"AKS116/R12145",2753.4232,94.615,71
"AKS116/R12148",3000.70685,94.615,70.25
"AKS116/R12154",2809.28905,91.44,70
"AKS116/R12156",3195.7113,99.06,71
"AKS116/R12157",3359.7978,99.695,69.5
"AKS116/RTx2912",1654.11805,88.265,71
"AKS116/RTx2913",2921.50515,102.87,71
"AKS116/RTx2914",2751.44725,95.885,69.5
"AKS116/RTx2916",2408.59315,91.44,71
"AKS116/RTx2917",3106.931,94.615,68
"AKS116/RTx2918",3238.5144,94.615,68.25
"AKS116/RTx2919",2819.35455,89.535,68
"AKS116/RTx2920",2888.82775,85.09,68
"AKS116/RTx2935",2999.0349,91.44,68.25
"AKS116/RTx2936",2661.48425,90.17,69.75
"AKS116/RTx2937",3100.3061,93.345,68.25
"AKS116/RTx2938",1615.43955,83.185,71.75
"AKS116/RTx2939",1963.61555,104.59845,72.1128
"AKS116/RTx2940",3168.93355,90.17,68.25
"AKS116/RTx2941",2379.8858,92.71,71
"AKS116/RTx2942",3277.32975,97.79,67.5
"AKS116/RTx2943",2758.79745,99.695,71
"AKS116/RTx2944",2461.06855,91.44,68
"AKS117/R01302",2492.516,94.615,72.25
"AKS117/R02107",2138.42045,97.79,72.25
"AKS117/R03248",3395.3551,87.63,70.5
"AKS117/R04060",3746.70755,103.505,71.75
"AKS117/R04104",3745.5543,97.155,70
"AKS117/R05330",2950.8245,104.14,73
"AKS117/R05386",3505.38125,87.63,70
"AKS117/R05393",2120.3705,90.805,73
"AKS117/R05405",3157.5975,85.09,70
"AKS117/R05425",2784.12265,85.09,70.25
"AKS117/R05512",2667.5358,89.535,71.5
"AKS117/R07161",3155.0039,106.68,70.75
