"","gy","ph","dy"
"A03032/R11158",3573.98835,97.79,68.75
"A03032/R11208",3439.76525,85.09,69
"A03032/R12071",3658.3849,94.615,70.25
"A03032/R12145",3384.0852,97.79,71.75
"A03032/R12148",3631.36885,97.79,71
"A03032/R12154",3439.95105,94.615,70.75
"A03032/R12156",3826.3733,102.235,71.75
"A03032/R12157",3990.4598,102.87,70.25
"A03032/RTx2912",2284.78005,91.44,71.75
"A03032/RTx2913",3552.16715,106.045,71.75
"A03032/RTx2914",3382.10925,99.06,70.25
"A03032/RTx2916",3039.25515,94.615,71.75
"A03032/RTx2917",3737.593,97.79,68.75
"A03032/RTx2918",3869.1764,97.79,69
"A03032/RTx2919",3450.01655,92.71,68.75
"A03032/RTx2920",3519.48975,88.265,68.75
"A03032/RTx2935",3629.6969,94.615,69
"A03032/RTx2936",3292.14625,93.345,70.5
"A03032/RTx2937",3730.9681,96.52,69
"A03032/RTx2938",2246.10155,86.36,72.5
"A03032/RTx2939",2594.27755,107.77345,72.8628
"A03032/RTx2940",3799.59555,93.345,69
"A03032/RTx2941",3010.5478,95.885,71.75
"A03032/RTx2942",3907.99175,100.965,68.25
"A03032/RTx2943",3389.45945,102.87,71.75
"A03032/RTx2944",3091.73055,94.615,68.75
"A03040/R01302",2540.60115,100.965,70.75
"A03040/R02107",2186.5056,104.14,70.75
"A03040/R03248",3443.44025,93.98,69
"A03040/R04060",3794.7927,109.855,70.25
"A03040/R04104",3793.63945,103.505,68.5
"A03040/R05330",2998.90965,110.49,71.5
"A03040/R05386",3553.4664,93.98,68.5
"A03040/R05393",2168.45565,97.155,71.5
"A03040/R05405",3205.68265,91.44,68.5
"A03040/R05425",2832.2078,91.44,68.75
"A03040/R05512",2715.62095,95.885,70
"A03040/R07161",3203.08905,113.03,69.25
"A03040/R07178",3469.32225,95.885,68.5
"A03040/R08224",2373.61915,108.585,70.75
"A03040/R08297",3525.92235,99.06,68.5
"A03040/R08303",3364.62425,91.44,68.5
"A03040/R08304",3675.78385,105.41,68.5
"A03040/R08306",3620.2025,99.06,68.5
"A03040/R11158",3262.9824,102.235,68.5
"A03040/R11208",3128.7593,89.535,68.75
"A03040/R12071",3347.37895,99.06,70
"A03040/R12145",3073.07925,102.235,71.5
"A03040/R12148",3320.3629,102.235,70.75
"A03040/R12154",3128.9451,99.06,70.5
"A03040/R12156",3515.36735,106.68,71.5
"A03040/R12157",3679.45385,107.315,70
"A03040/RTx2912",1973.7741,95.885,71.5
"A03040/RTx2913",3241.1612,110.49,71.5
"A03040/RTx2914",3071.1033,103.505,70
"A03040/RTx2916",2728.2492,99.06,71.5
"A03040/RTx2917",3426.58705,102.235,68.5
"A03040/RTx2918",3558.17045,102.235,68.75
"A03040/RTx2919",3139.0106,97.155,68.5
"A03040/RTx2920",3208.4838,92.71,68.5
"A03040/RTx2935",3318.69095,99.06,68.75
"A03040/RTx2936",2981.1403,97.79,70.25
"A03040/RTx2937",3419.96215,100.965,68.75
"A03040/RTx2938",1935.0956,90.805,72.25
"A03040/RTx2939",2283.2716,112.21845,72.6128
"A03040/RTx2940",3488.5896,97.79,68.75
"A03040/RTx2941",2699.54185,100.33,71.5
"A03040/RTx2942",3596.9858,105.41,68
"A03040/RTx2943",3078.4535,107.315,71.5
"A03040/RTx2944",2780.7246,99.06,68.5
"A03043/R01302",2538.8042,100.965,72.5
