pedigree,female,male,env,blue
A03089/R05393,A03089,R05393,19CS,6272.116
A03089/R08224,A03089,R08224,19CS,7535.3184
A03089/R12157,A03089,R12157,19CS,7175.1057
A03089/RTx2914,A03089,RTx2914,19CS,6848.1406
A03089/RTx2917,A03089,RTx2917,19CS,7126.0197
A03093/R02107,A03093,R02107,19CS,8953.5449
A03093/R05386,A03093,R05386,19CS,7102.7318
A03093/R05405,A03093,R05405,19CS,7706.2241
A03093/R07178,A03093,R07178,19CS,7744.7983
A03093/R08297,A03093,R08297,19CS,7602.7854
A03093/R12148,A03093,R12148,19CS,8175.4275
A03093/RTx2913,A03093,RTx2913,19CS,7182.0374
A03093/RTx2917,A03093,RTx2917,19CS,6179.2232
A03093/RTx2920,A03093,RTx2920,19CS,7642.2883
A03093/RTx2940,A03093,RTx2940,19CS,6471.5254
A03093/RTx2944,A03093,RTx2944,19CS,6485.8403
A03121/R02107,A03121,R02107,19CS,6212.2226
A03121/R05330,A03121,R05330,19CS,6221.1964
A03121/R05425,A03121,R05425,19CS,4903.6528
A03121/R07178,A03121,R07178,19CS,7448.6687
A03121/R08224,A03121,R08224,19CS,6132.5189
A03121/R08303,A03121,R08303,19CS,7208.1987
A03121/R12157,A03121,R12157,19CS,6729.8211
A03121/RTx2913,A03121,RTx2913,19CS,5871.4487
A03121/RTx2919,A03121,RTx2919,19CS,6167.0943
A03121/RTx2935,A03121,RTx2935,19CS,7000.2115
A03121/RTx2944,A03121,RTx2944,19CS,4119.4917
A05071/R02107,A05071,R02107,19CS,5731.9707
A05071/R04060,A05071,R04060,19CS,9103.0501
A05071/R05330,A05071,R05330,19CS,7523.9621
A05071/R05405,A05071,R05405,19CS,7467.42
A05071/R05425,A05071,R05425,19CS,8216.4291
A05071/R08297,A05071,R08297,19CS,8280.9127
A05071/R11158,A05071,R11158,19CS,7685.6568
A05071/R12154,A05071,R12154,19CS,8297.318
A05071/RTx2916,A05071,RTx2916,19CS,7178.5889
A05071/RTx2918,A05071,RTx2918,19CS,8012.173
A05071/RTx2936,A05071,RTx2936,19CS,7116.2325
A05071/RTx2942,A05071,RTx2942,19CS,8857.6523
A05210/R03248,A05210,R03248,19CS,7025.9357
A05210/R05330,A05210,R05330,19CS,8076.7186
A05210/R05405,A05210,R05405,19CS,6416.4755
A05210/R05512,A05210,R05512,19CS,7588.8789
A05210/R08224,A05210,R08224,19CS,7813.8452
A05210/R12145,A05210,R12145,19CS,8051.7863
A05210/R12154,A05210,R12154,19CS,9052.557
A05210/R12157,A05210,R12157,19CS,7715.9105
A05210/RTx2937,A05210,RTx2937,19CS,8982.7302
A05210/RTx2938,A05210,RTx2938,19CS,7367.1455
A05210/RTx2943,A05210,RTx2943,19CS,7707.642
A05269/R01302,A05269,R01302,19CS,7394.1576
A05269/R05330,A05269,R05330,19CS,8378.6262
A05269/R07161,A05269,R07161,19CS,7043.971
A05269/R08303,A05269,R08303,19CS,5219.8764
A05269/R08306,A05269,R08306,19CS,7993.0508
A05269/R11208,A05269,R11208,19CS,7287.8529
A05269/R12156,A05269,R12156,19CS,9108.2803
A05269/RTx2919,A05269,RTx2919,19CS,8094.1451
A05269/RTx2936,A05269,RTx2936,19CS,9089.7498
A05269/RTx2943,A05269,RTx2943,19CS,8425.7973
A05269/RTx2944,A05269,RTx2944,19CS,6738.9009
A06035/R03248,A06035,R03248,19CS,7566.9646
A06035/R05330,A06035,R05330,19CS,7929.188
A06035/R12154,A06035,R12154,19CS,5627.7063
A06035/RTx2913,A06035,RTx2913,19CS,7126.6966
A06035/RTx2917,A06035,RTx2917,19CS,7352.5032
A06035/RTx2920,A06035,RTx2920,19CS,7825.0629
A06035/RTx2936,A06035,RTx2936,19CS,7563.551
A06035/RTx2943,A06035,RTx2943,19CS,8393.0083
A06036/R04104,A06036,R04104,19CS,8143.6856
A06036/R08306,A06036,R08306,19CS,7115.0578
A06036/R11158,A06036,R11158,19CS,8127.7421
A06036/R12156,A06036,R12156,19CS,6909.5138
A06036/RTx2919,A06036,RTx2919,19CS,8259.9989
A06036/RTx2940,A06036,RTx2940,19CS,8915.3321
A07118/R07161,A07118,R07161,19CS,5308.781
A07118/R08224,A07118,R08224,19CS,7322.5231
A07118/R08304,A07118,R08304,19CS,9374.1062
A07118/R12145,A07118,R12145,19CS,9146.1095
A07118/R12148,A07118,R12148,19CS,7287.5139
A07118/R12157,A07118,R12157,19CS,5611.5242
A07118/RTx2919,A07118,RTx2919,19CS,7973.5395
A07118/RTx2944,A07118,RTx2944,19CS,7254.2664
A07124/R01302,A07124,R01302,19CS,7680.3457
A07124/R04060,A07124,R04060,19CS,7613.2168
A07124/R05330,A07124,R05330,19CS,8473.9228
A07124/R05425,A07124,R05425,19CS,8663.8294
A07124/R07178,A07124,R07178,19CS,7428.3567
A07124/R11158,A07124,R11158,19CS,7479.6577
A07124/R11208,A07124,R11208,19CS,9042.9381
A07124/RTx2917,A07124,RTx2917,19CS,7599.126
A07124/RTx2919,A07124,RTx2919,19CS,6769.4551
A07124/RTx2935,A07124,RTx2935,19CS,6229.8594
A07124/RTx2943,A07124,RTx2943,19CS,7889.5592
A08068/R03248,A08068,R03248,19CS,6687.7947
A08068/R07161,A08068,R07161,19CS,8153.3041
A08068/R11158,A08068,R11158,19CS,7376.3973
A08068/R12156,A08068,R12156,19CS,6954.3658
A08068/RTx2919,A08068,RTx2919,19CS,7594.9463
A08068/RTx2941,A08068,RTx2941,19CS,8327.8354
A08134/R02107,A08134,R02107,19CS,6279.672
A08134/R04060,A08134,R04060,19CS,7077.5793
A08134/R05405,A08134,R05405,19CS,9036.3736
A08134/R07178,A08134,R07178,19CS,8153.8412
A08134/R08297,A08134,R08297,19CS,7961.594
A08134/R11158,A08134,R11158,19CS,6295.0143
A08134/R12148,A08134,R12148,19CS,7995.4123
A08134/RTx2918,A08134,RTx2918,19CS,7641.0661
A08134/RTx2936,A08134,RTx2936,19CS,9283.566
A08134/RTx2940,A08134,RTx2940,19CS,7870.4755
A08134/RTx2943,A08134,RTx2943,19CS,9628.564
A08140/R04060,A08140,R04060,19CS,8465.0108
A08140/R04104,A08140,R04104,19CS,8291.1882
A08140/R05386,A08140,R05386,19CS,7914.0975
A08140/R07178,A08140,R07178,19CS,8947.4501
A08140/R08303,A08140,R08303,19CS,8656.3266
A08140/R12148,A08140,R12148,19CS,8126.2379
A08140/R12156,A08140,R12156,19CS,7338.1091
A08140/RTx2942,A08140,RTx2942,19CS,7916.9544
A08158/R01302,A08158,R01302,19CS,7006.5814
A08158/R03248,A08158,R03248,19CS,7406.0281
A08158/R05330,A08158,R05330,19CS,7234.8282
A08158/R07178,A08158,R07178,19CS,8698.673
A08158/R08224,A08158,R08224,19CS,7495.8508
A08158/R12071,A08158,R12071,19CS,7376.4637
