"","gy","ph","dy"
"A03043/R07161",5733.11,121.285,91.5
"A03043/R07178",5497.698,109.855,92.25
"A03043/R08224",4988.0425,122.555,94
"A03043/R08297",4749.8475,107.315,93.25
"A03043/R08303",5052.218,99.695,93.5
"A03043/R08304",5307.978,127,93.5
"A03043/R08306",5366.3205,106.045,91.25
"A03043/R11158",5317.671,120.65,91.25
"A03043/R11208",5332.4135,102.87,93.5
"A03043/R12071",6012.4405,114.3,89
"A03043/R12145",5402.07,113.03,93.5
"A03043/R12148",5005.9455,109.22,92.75
"A03043/R12154",5648.302,116.84,91.25
"A03043/R12156",5487.6585,111.76,94.75
"A03043/R12157",4999.6385,115.57,93.5
"A03043/RTx2912",4365.163,111.76,95.25
"A03043/RTx2913",5759.82,123.19,93
"A03043/RTx2914",4736.3795,121.92,92.25
"A03043/RTx2916",4795.619,115.57,93.5
"A03043/RTx2917",4913.773,107.315,92.5
"A03043/RTx2918",5566.089,107.95,93.5
"A03043/RTx2919",4924.0855,113.665,94
"A03043/RTx2920",4553.47,99.695,90.75
"A03043/RTx2935",5572.857,108.585,93.5
"A03043/RTx2936",5598.5655,118.745,91.25
"A03043/RTx2937",4929.462,106.68,93
"A03043/RTx2938",5179.844,109.855,92.25
"A03043/RTx2939",5313.968,120.65,94
"A03043/RTx2940",5175.102,108.585,91
"A03043/RTx2941",3765.3385,113.03,96.5
"A03043/RTx2942",5810.2335,115.57,91.25
"A03043/RTx2943",5175.0775,122.555,93.5
"A03043/RTx2944",4634.1575,110.49,89.75
"A03054/R01302",5827.8865,103.505,88.75
"A03054/R02107",4811.1995,106.68,89
"A03054/R03248",6261.703,106.68,89.5
"A03054/R04060",6696.7585,108.585,90
"A03054/R04104",5679.1175,105.41,89
"A03054/R05330",5757.583,111.76,89.5
"A03054/R05386",5600.3165,97.155,90.75
"A03054/R05393",5647.136,100.33,90.5
"A03054/R05405",5532.7645,100.965,91
"A03054/R05425",5439.1325,102.87,88.5
"A03054/R05512",5319.137,102.235,91.75
"A03054/R07161",6291.6925,113.665,89.25
"A03054/R07178",6056.2805,102.235,90
"A03054/R08224",5546.625,114.935,91.75
"A03054/R08297",5308.43,99.695,91
"A03054/R08303",5610.8005,92.075,91.25
"A03054/R08304",5866.5605,119.38,91.25
"A03054/R08306",5924.903,98.425,89
"A03054/R11158",5876.2535,113.03,89
"A03054/R11208",5890.996,95.25,91.25
"A03054/R12071",6571.023,106.68,86.75
"A03054/R12145",5960.6525,105.41,91.25
"A03054/R12148",5564.528,101.6,90.5
"A03054/R12154",6206.8845,109.22,89
"A03054/R12156",6046.241,104.14,92.5
"A03054/R12157",5558.221,107.95,91.25
"A03054/RTx2912",4923.7455,104.14,93
"A03054/RTx2913",6318.4025,115.57,90.75
"A03054/RTx2914",5294.962,114.3,90
"A03054/RTx2916",5354.2015,107.95,91.25
"A03054/RTx2917",5472.3555,99.695,90.25
"A03054/RTx2918",6124.6715,100.33,91.25
"A03054/RTx2919",5482.668,106.045,91.75
"A03054/RTx2920",5112.0525,92.075,88.5
"A03054/RTx2935",6131.4395,100.965,91.25
"A03054/RTx2936",6157.148,111.125,89
"A03054/RTx2937",5488.0445,99.06,90.75
"A03054/RTx2938",5738.4265,102.235,90
"A03054/RTx2939",5872.5505,113.03,91.75
"A03054/RTx2940",5733.6845,100.965,88.75
"A03054/RTx2941",4323.921,105.41,94.25
"A03054/RTx2942",6368.816,107.95,89
"A03054/RTx2943",5733.66,114.935,91.25
"A03054/RTx2944",5192.74,102.87,87.5
"A03055/R01302",5672.409,103.505,89.75
"A03055/R02107",4655.722,106.68,90
"A03055/R03248",6106.2255,106.68,90.5
"A03055/R04060",6541.281,108.585,91
"A03055/R04104",5523.64,105.41,90
"A03055/R05330",5602.1055,111.76,90.5
"A03055/R05386",5444.839,97.155,91.75
"A03055/R05393",5491.6585,100.33,91.5
"A03055/R05405",5377.287,100.965,92
"A03055/R05425",5283.655,102.87,89.5
"A03055/R05512",5163.6595,102.235,92.75
"A03055/R07161",6136.215,113.665,90.25
"A03055/R07178",5900.803,102.235,91
"A03055/R08224",5391.1475,114.935,92.75
"A03055/R08297",5152.9525,99.695,92
"A03055/R08303",5455.323,92.075,92.25
"A03055/R08304",5711.083,119.38,92.25
"A03055/R08306",5769.4255,98.425,90
"A03055/R11158",5720.776,113.03,90
"A03055/R11208",5735.5185,95.25,92.25
"A03055/R12071",6415.5455,106.68,87.75
"A03055/R12145",5805.175,105.41,92.25
"A03055/R12148",5409.0505,101.6,91.5
"A03055/R12154",6051.407,109.22,90
"A03055/R12156",5890.7635,104.14,93.5
"A03055/R12157",5402.7435,107.95,92.25
"A03055/RTx2912",4768.268,104.14,94
"A03055/RTx2913",6162.925,115.57,91.75
"A03055/RTx2914",5139.4845,114.3,91
"A03055/RTx2916",5198.724,107.95,92.25
"A03055/RTx2917",5316.878,99.695,91.25
"A03055/RTx2918",5969.194,100.33,92.25
"A03055/RTx2919",5327.1905,106.045,92.75
"A03055/RTx2920",4956.575,92.075,89.5
"A03055/RTx2935",5975.962,100.965,92.25
"A03055/RTx2936",6001.6705,111.125,90
"A03055/RTx2937",5332.567,99.06,91.75
"A03055/RTx2938",5582.949,102.235,91
"A03055/RTx2939",5717.073,113.03,92.75
"A03055/RTx2940",5578.207,100.965,89.75
"A03055/RTx2941",4168.4435,105.41,95.25
"A03055/RTx2942",6213.3385,107.95,90
"A03055/RTx2943",5578.1825,114.935,92.25
"A03055/RTx2944",5037.2625,102.87,88.5
"A03089/R01302",5137.7415,113.03,92.25
"A03089/R02107",4121.0545,116.205,92.5
"A03089/R03248",5571.558,116.205,93
"A03089/R04060",6006.6135,118.11,93.5
"A03089/R04104",4988.9725,114.935,92.5
"A03089/R05330",5067.438,121.285,93
"A03089/R05386",4910.1715,106.68,94.25
"A03089/R05393",4956.991,109.855,94
"A03089/R05405",4842.6195,110.49,94.5
"A03089/R05425",4748.9875,112.395,92
"A03089/R05512",4628.992,111.76,95.25
"A03089/R07161",5601.5475,123.19,92.75
"A03089/R07178",5366.1355,111.76,93.5
"A03089/R08224",4856.48,124.46,95.25
"A03089/R08297",4618.285,109.22,94.5
"A03089/R08303",4920.6555,101.6,94.75
"A03089/R08304",5176.4155,128.905,94.75
"A03089/R08306",5234.758,107.95,92.5
"A03089/R11158",5186.1085,122.555,92.5
"A03089/R11208",5200.851,104.775,94.75
"A03089/R12071",5880.878,116.205,90.25
"A03089/R12145",5270.5075,114.935,94.75
"A03089/R12148",4874.383,111.125,94
"A03089/R12154",5516.7395,118.745,92.5
"A03089/R12156",5356.096,113.665,96
"A03089/R12157",4868.076,117.475,94.75
"A03089/RTx2912",4233.6005,113.665,96.5
"A03089/RTx2913",5628.2575,125.095,94.25
"A03089/RTx2914",4604.817,123.825,93.5
"A03089/RTx2916",4664.0565,117.475,94.75
"A03089/RTx2917",4782.2105,109.22,93.75
"A03089/RTx2918",5434.5265,109.855,94.75
"A03089/RTx2919",4792.523,115.57,95.25
"A03089/RTx2920",4421.9075,101.6,92
"A03089/RTx2935",5441.2945,110.49,94.75
"A03089/RTx2936",5467.003,120.65,92.5
"A03089/RTx2937",4797.8995,108.585,94.25
"A03089/RTx2938",5048.2815,111.76,93.5
"A03089/RTx2939",5182.4055,122.555,95.25
"A03089/RTx2940",5043.5395,110.49,92.25
"A03089/RTx2941",3633.776,114.935,97.75
"A03089/RTx2942",5678.671,117.475,92.5
"A03089/RTx2943",5043.515,124.46,94.75
"A03089/RTx2944",4502.595,112.395,91
"A03093/R01302",6155.463,109.855,88.75
"A03093/R02107",5138.776,113.03,89
"A03093/R03248",6589.2795,113.03,89.5
"A03093/R04060",7024.335,114.935,90
"A03093/R04104",6006.694,111.76,89
"A03093/R05330",6085.1595,118.11,89.5
"A03093/R05386",5927.893,103.505,90.75
"A03093/R05393",5974.7125,106.68,90.5
"A03093/R05405",5860.341,107.315,91
"A03093/R05425",5766.709,109.22,88.5
"A03093/R05512",5646.7135,108.585,91.75
"A03093/R07161",6619.269,120.015,89.25
"A03093/R07178",6383.857,108.585,90
"A03093/R08224",5874.2015,121.285,91.75
"A03093/R08297",5636.0065,106.045,91
"A03093/R08303",5938.377,98.425,91.25
"A03093/R08304",6194.137,125.73,91.25
"A03093/R08306",6252.4795,104.775,89
"A03093/R11158",6203.83,119.38,89
"A03093/R11208",6218.5725,101.6,91.25
"A03093/R12071",6898.5995,113.03,86.75
"A03093/R12145",6288.229,111.76,91.25
"A03093/R12148",5892.1045,107.95,90.5
"A03093/R12154",6534.461,115.57,89
"A03093/R12156",6373.8175,110.49,92.5
"A03093/R12157",5885.7975,114.3,91.25
"A03093/RTx2912",5251.322,110.49,93
