env,pedigree,female,male,ra,ro,rep,test,dy,ph,gy,gy_t_ha
19CS,ATx2926/R12154,ATx2926,R12154,17,304,2,SCHV,82,129.54,8131.912006,8.131912006
19CS,A03043/R05330,A03043,R05330,3,312,1,SCHV,82,139.7,8132.232054,8.132232054
19CS,A06036/R12156,A06036,R12156,6,237,1,SCHT,80,129.54,8133.163227,8.133163227
19CS,A06036/R11158,A06036,R11158,6,285,1,SCHV,77,127,8135.302723,8.135302723
19CS,ATx2921/RTx2918,ATx2921,RTx2918,9,242,1,SCHT,82,142.24,8140.394135,8.140394135
19CS,ATx2921/RTx2914,ATx2921,RTx2914,9,290,1,SCHV,86,154.94,8140.810545,8.140810545
19CS,A08134/RTx2936,A08134,RTx2936,6,323,1,SCHV,72,160.02,8145.833209,8.145833209
19CS,A08134/RTx2940,A08134,RTx2940,6,275,1,SCHT,70,147.32,8147.114,8.147114
19CS,ATx2926/R05405,ATx2926,R05405,10,309,1,SCHV,77,162.56,8151.877635,8.151877635
19CS,ATx2926/R07161,ATx2926,R07161,10,261,1,SCHT,82,160.02,8152.924761,8.152924761
19CS,ATx2930/RTx2940,ATx2930,RTx2940,11,270,1,SCHT,73,142.24,8166.812105,8.166812105
19CS,ATx2930/RTx2920,ATx2930,RTx2920,11,318,1,SCHV,78,139.7,8167.326097,8.167326097
19CS,ATx2921/R07178,ATx2921,R07178,18,261,2,SCHT,82,142.24,8184.243263,8.184243263
19CS,ATx2930/R05425,ATx2930,R05425,20,321,2,SCHV,77,177.8,8193.391787,8.193391787
19CS,AN263/RTx2935,AN263,RTx2935,20,273,2,SCHT,84,119.38,8195.092302,8.195092302
19CS,A11076/R04060,A11076,R04060,19,274,2,SCHT,84,132.08,8210.256794,8.210256794
19CS,A03093/R02107,A03093,R02107,4,247,1,SCHT,79,129.54,8212.021738,8.212021738
19CS,A03093/R07178,A03093,R07178,4,295,1,SCHV,81,134.62,8212.283609,8.212283609
19CS,A05210/R12157,A05210,R12157,14,301,2,SCHV,82,147.32,8222.357054,8.222357054
19CS,A05210/R08224,A05210,R08224,14,253,2,SCHT,83,195.58,8222.775761,8.222775761
19CS,A07124/RTx2917,A07124,RTx2917,6,255,1,SCHT,81,132.08,8230.42147,8.23042147
19CS,A07124/R11208,A07124,R11208,6,303,1,SCHV,82,127,8232.408964,8.232408964
19CS,A03040/RTx2917,A03040,RTx2917,3,268,1,SCHT,77,142.24,8249.027672,8.249027672
19CS,ATx2934/RTx2941,ATx2934,RTx2941,11,300,1,SCHV,82,142.24,8268.074906,8.268074906
19CS,ATx2931/R08297,ATx2931,R08297,11,312,1,SCHV,77,165.1,8268.074906,8.268074906
19CS,AKS116/RTx2920,AKS116,RTx2920,18,251,2,SCHT,74,111.76,8269.988986,8.269988986
19CS,ATx2931/R08304,ATx2931,R08304,11,264,1,SCHT,79,160.02,8270.062173,8.270062173
19CS,A03121/R08303,A03121,R08303,20,241,2,SCHT,80,119.38,8291.403052,8.291403052
19CS,A08134/R12148,A08134,R12148,20,289,2,SCHV,77,142.24,8291.973839,8.291973839
19CS,A03054/R07161,A03054,R07161,3,300,1,SCHV,77,134.62,8300.749743,8.300749743
19CS,A07118/R12148,A07118,R12148,18,303,2,SCHV,82,142.24,8305.608494,8.305608494
19CS,A08140/R04060,A08140,R04060,7,322,1,SCHV,79,142.24,8321.418282,8.321418282
19CS,A08140/R05386,A08140,R05386,7,274,1,SCHT,78,132.08,8321.931316,8.321931316
19CS,A08140/R12156,A08140,R12156,7,270,1,SCHT,80,137.16,8327.403843,8.327403843
19CS,A08140/R12148,A08140,R12148,7,318,1,SCHV,79,147.32,8327.812069,8.327812069
19CS,A03040/RTx2942,A03040,RTx2942,3,266,1,SCHT,78,142.24,8345.774962,8.345774962
19CS,ATx2921/R12157,ATx2921,R12157,14,239,2,SCHT,84,129.54,8345.99354,8.34599354
19CS,A03043/R01302,A03043,R01302,3,314,1,SCHV,81,132.08,8347.503115,8.347503115
19CS,A08158/RTx2939,A08158,RTx2939,14,287,2,SCHV,86,167.64,8347.766332,8.347766332
19CS,AN290/R05386,AN290,R05386,9,256,1,SCHT,79,111.76,8369.977055,8.369977055
19CS,A05269/RTx2936,A05269,RTx2936,5,300,1,SCHV,81,154.94,8370.543003,8.370543003
19CS,A05269/RTx2943,A05269,RTx2943,5,252,1,SCHT,80,165.1,8371.22099,8.37122099
19CS,AN290/R03248,AN290,R03248,9,304,1,SCHV,79,139.7,8371.811829,8.371811829
19CS,AHF14/RTx2943,AHF14,RTx2943,11,286,1,SCHV,82,142.24,8374.850194,8.374850194
19CS,A06035/R05330,A06035,R05330,13,322,2,SCHV,79,147.32,8399.081739,8.399081739
19CS,A03055/RTx2918,A03055,RTx2918,13,274,2,SCHT,77,154.94,8400.059573,8.400059573
19CS,A07124/R05330,A07124,R05330,6,299,1,SCHV,83,152.4,8408.177092,8.408177092
19CS,A07124/R05425,A07124,R05425,6,251,1,SCHT,79,177.8,8410.109406,8.410109406
19CS,A03093/R12148,A03093,R12148,14,307,2,SCHV,79,149.86,8424.819603,8.424819603
19CS,A01362/R04060,A01362,R04060,14,259,2,SCHT,78,134.62,8425.449889,8.425449889
19CS,A03032/R04060,A03032,R04060,12,253,2,SCHT,84,121.92,8454.350459,8.454350459
19CS,AKS120/R08303,AKS120,R08303,12,301,2,SCHV,77,157.48,8455.136252,8.455136252
19CS,A05269/R12156,A05269,R12156,5,302,1,SCHV,82,134.62,8455.927101,8.455927101
19CS,A05269/RTx2919,A05269,RTx2919,5,254,1,SCHT,81,139.7,8457.387717,8.457387717
19CS,AKS120/R05425,AKS120,R05425,21,288,2,SCHV,79,162.56,8470.283211,8.470283211
19CS,A08140/R08303,A08140,R08303,21,240,2,SCHT,78,121.92,8471.853721,8.471853721
19CS,A05269/RTx2943,A05269,RTx2943,18,241,2,SCHT,79,137.16,8480.373705,8.480373705
19CS,A08158/RTx2914,A08158,RTx2914,18,289,2,SCHV,81,147.32,8482.982248,8.482982248
19CS,A03055/R08297,A03055,R08297,3,240,1,SCHT,81,139.7,8495.414156,8.495414156
19CS,A03055/RTx2936,A03055,RTx2936,3,288,1,SCHV,81,147.32,8495.465926,8.495465926
19CS,A08068/RTx2919,A08068,RTx2919,14,249,2,SCHT,80,134.62,8497.502929,8.497502929
19CS,A05269/R08306,A05269,R08306,5,304,1,SCHV,77,149.86,8498.015545,8.498015545
19CS,ATx2931/RTx2943,ATx2931,RTx2943,14,297,2,SCHV,80,162.56,8498.285941,8.498285941
19CS,A05269/R11208,A05269,R11208,5,256,1,SCHT,83,119.38,8499.639703,8.499639703
19CS,ATx2926/R01302,ATx2926,R01302,16,287,2,SCHV,81,154.94,8509.972788,8.509972788
19CS,AN290/R12154,AN290,R12154,16,239,2,SCHT,81,129.54,8511.22733,8.51122733
19CS,ATx2930/R02107,ATx2930,R02107,19,266,2,SCHT,77,162.56,8528.573157,8.528573157
19CS,A01021/RTx2917,A01021,RTx2917,19,314,2,SCHV,77,137.16,8529.625548,8.529625548
19CS,A07124/R05330,A07124,R05330,13,302,2,SCHV,81,152.4,8539.668484,8.539668484
19CS,ATx2924/R11158,ATx2924,R11158,13,254,2,SCHT,78,160.02,8542.180151,8.542180151
19CS,AKS116/RTx2944,AKS116,RTx2944,15,242,2,SCHT,75,137.16,8573.832161,8.573832161
19CS,ATx2923/R05330,ATx2923,R05330,15,290,2,SCHV,80,149.86,8574.983869,8.574983869
19CS,AN263/RTx2936,AN263,RTx2936,21,302,2,SCHV,80,127,8582.391042,8.582391042
19CS,A03032/RTx2943,A03032,RTx2943,2,323,1,SCHV,82,124.46,8586.425445,8.586425445
19CS,A03040/R04104,A03040,R04104,2,275,1,SCHT,79,137.16,8587.552542,8.587552542
19CS,ATx2930/R07178,ATx2930,R07178,11,276,1,SCHT,79,162.56,8588.891193,8.588891193
19CS,ATx2930/R05425,ATx2930,R05425,11,324,1,SCHV,77,157.48,8590.646494,8.590646494
19CS,A08134/R05405,A08134,R05405,6,317,1,SCHV,75,180.34,8600.277853,8.600277853
19CS,A08134/R07178,A08134,R07178,6,269,1,SCHT,77,134.62,8601.70698,8.60170698
19CS,A07124/RTx2943,A07124,RTx2943,18,321,2,SCHV,79,154.94,8603.480131,8.603480131
19CS,A01021/R12145,A01021,R12145,18,273,2,SCHT,76,129.54,8605.284336,8.605284336
19CS,A03040/RTx2913,A03040,RTx2913,3,320,1,SCHV,77,165.1,8607.480435,8.607480435
19CS,A08140/R04060,A08140,R04060,13,316,2,SCHV,79,154.94,8608.603296,8.608603296
19CS,A03040/R12071,A03040,R12071,3,272,1,SCHT,77,132.08,8609.586084,8.609586084
19CS,ATx2923/RTx2913,ATx2923,RTx2913,13,268,2,SCHT,80,144.78,8609.989297,8.609989297
19CS,A03040/R03248,A03040,R03248,13,320,2,SCHV,75,144.78,8614.462872,8.614462872
19CS,ATx2926/R05393,ATx2926,R05393,13,272,2,SCHT,82,139.7,8615.288704,8.615288704
19CS,A05210/R12145,A05210,R12145,5,316,1,SCHV,83,149.86,8642.984858,8.642984858
19CS,A05210/R12154,A05210,R12154,5,268,1,SCHT,79,177.8,8643.803129,8.643803129
19CS,AKS120/RTx2935,AKS120,RTx2935,13,250,2,SCHT,75,162.56,8649.359694,8.649359694
19CS,A03055/RTx2936,A03055,RTx2936,13,298,2,SCHV,77,139.7,8651.818191,8.651818191
19CS,A11085/R04104,A11085,R04104,17,276,2,SCHT,74,121.92,8658.267804,8.658267804
19CS,A08068/R07161,A08068,R07161,18,293,2,SCHV,82,152.4,8672.186423,8.672186423
19CS,A03093/R08297,A03093,R08297,18,271,2,SCHT,79,132.08,8696.267646,8.696267646
19CS,ATx2926/R05405,ATx2926,R05405,18,319,2,SCHV,81,172.72,8696.473602,8.696473602
19CS,ATx2926/R07161,ATx2926,R07161,18,239,2,SCHT,82,160.02,8712.718284,8.712718284
19CS,ATx2924/R04060,ATx2924,R04060,18,287,2,SCHV,84,139.7,8714.752247,8.714752247
19CS,A03054/RTx2936,A03054,RTx2936,12,239,2,SCHT,83,124.46,8722.746144,8.722746144
19CS,ATx2931/RTx2936,ATx2931,RTx2936,12,287,2,SCHV,81,160.02,8724.522395,8.724522395
19CS,A03055/R07161,A03055,R07161,19,300,2,SCHV,83,147.32,8768.479681,8.768479681
19CS,AKS116/RTx2940,AKS116,RTx2940,19,252,2,SCHT,75,132.08,8770.737434,8.770737434
19CS,A03093/RTx2920,A03093,RTx2920,17,272,2,SCHT,75,129.54,8810.798626,8.810798626
19CS,ATx3408/R12145,ATx3408,R12145,17,320,2,SCHV,85,147.32,8811.877631,8.811877631
19CS,A08140/RTx2942,A08140,RTx2942,19,324,2,SCHV,77,142.24,8815.789997,8.815789997
19CS,A03121/R07178,A03121,R07178,19,276,2,SCHT,80,137.16,8818.089769,8.818089769
19CS,A08140/R07178,A08140,R07178,7,320,1,SCHV,79,144.78,8839.615349,8.839615349
19CS,A08140/R08303,A08140,R08303,7,272,1,SCHT,77,137.16,8840.799456,8.840799456
19CS,ATx2927/R12157,ATx2927,R12157,15,254,2,SCHT,81,142.24,8841.814123,8.841814123
19CS,ATx2923/R05425,ATx2923,R05425,15,302,2,SCHV,81,144.78,8842.176932,8.842176932
19CS,A05071/R05425,A05071,R05425,20,253,2,SCHT,79,167.64,8850.099509,8.850099509
19CS,ATx2921/R01302,ATx2921,R01302,20,301,2,SCHV,83,157.48,8851.882471,8.851882471
19CS,AKS119/R05386,AKS119,R05386,21,262,2,SCHT,81,132.08,8870.936735,8.870936735
19CS,A08134/R08297,A08134,R08297,21,310,2,SCHV,75,137.16,8871.668634,8.871668634
19CS,A03043/RTx2920,A03043,RTx2920,17,270,2,SCHT,78,119.38,8889.379969,8.889379969
19CS,ATx2930/R08303,ATx2930,R08303,17,318,2,SCHV,75,139.7,8891.077918,8.891077918
19CS,A03040/R07178,A03040,R07178,17,288,2,SCHV,80,149.86,8913.360458,8.913360458
19CS,A06036/RTx2940,A06036,RTx2940,17,240,2,SCHT,75,134.62,8913.935851,8.913935851
19CS,A06036/RTx2919,A06036,RTx2919,6,287,1,SCHV,84,134.62,8916.102703,8.916102703
19CS,A06036/RTx2940,A06036,RTx2940,6,239,1,SCHT,73,132.08,8916.728395,8.916728395
19CS,A07124/R05425,A07124,R05425,13,240,2,SCHT,80,165.1,8917.549429,8.917549429
19CS,A06035/RTx2943,A06035,RTx2943,13,288,2,SCHV,82,147.32,8919.269686,8.919269686
19CS,A01362/R08304,A01362,R08304,15,264,2,SCHT,80,144.78,8949.116612,8.949116612
19CS,A05071/RTx2918,A05071,RTx2918,15,312,2,SCHV,80,134.62,8950.999931,8.950999931
19CS,ATx2923/R03248,ATx2923,R03248,17,260,2,SCHT,75,142.24,8954.883894,8.954883894
19CS,A03089/R08224,A03089,R08224,17,308,2,SCHV,83,175.26,8955.510519,8.955510519
19CS,ATx2931/RTx2936,ATx2931,RTx2936,11,308,1,SCHV,78,172.72,8955.998069,8.955998069
19CS,ATx2931/RTx2940,ATx2931,RTx2940,11,260,1,SCHT,75,154.94,8956.836057,8.956836057
19CS,ATx2923/R05425,ATx2923,R05425,10,285,1,SCHV,77,154.94,8969.504705,8.969504705
19CS,ATx2923/R08297,ATx2923,R08297,10,237,1,SCHT,76,124.46,8970.285114,8.970285114
19CS,ATx2926/RTx2944,ATx2926,RTx2944,17,296,2,SCHV,79,154.94,8991.052629,8.991052629
19CS,A11085/RTx2942,A11085,RTx2942,17,248,2,SCHT,77,144.78,8991.367736,8.991367736
19CS,ATx2924/R08224,ATx2924,R08224,13,290,2,SCHV,81,170.18,8992.383073,8.992383073
19CS,ATx2924/R05386,ATx2924,R05386,13,242,2,SCHT,79,134.62,8994.620761,8.994620761
19CS,A11076/R12154,A11076,R12154,20,261,2,SCHT,82,149.86,9012.212338,9.012212338
19CS,A05071/R12154,A05071,R12154,20,309,2,SCHV,81,154.94,9013.418322,9.013418322
19CS,A07118/R12145,A07118,R12145,6,243,1,SCHT,85,116.84,9022.513801,9.022513801
19CS,A07118/R08304,A07118,R08304,6,291,1,SCHV,79,142.24,9023.606625,9.023606625
19CS,A08134/R04060,A08134,R04060,19,270,2,SCHT,75,139.7,9041.227479,9.041227479
19CS,ATx2926/RTx2919,ATx2926,RTx2919,17,274,2,SCHT,78,147.32,9042.784403,9.042784403
19CS,A05210/R05330,A05210,R05330,17,322,2,SCHV,81,160.02,9042.939337,9.042939337
19CS,AKS116/R12154,AKS116,R12154,18,257,2,SCHT,79,134.62,9043.517942,9.043517942
19CS,ATx2923/R11158,ATx2923,R11158,18,305,2,SCHV,79,152.4,9043.57046,9.04357046
19CS,A03055/RTx2943,A03055,RTx2943,19,318,2,SCHV,82,147.32,9043.649425,9.043649425
19CS,A03055/R07161,A03055,R07161,3,292,1,SCHV,83,149.86,9048.327514,9.048327514
19CS,A03054/RTx2941,A03054,RTx2941,3,244,1,SCHT,79,132.08,9048.641329,9.048641329
19CS,A08140/R07178,A08140,R07178,18,301,2,SCHV,81,134.62,9055.284826,9.055284826
19CS,ATx2927/RTx2936,ATx2927,RTx2936,13,324,2,SCHV,79,152.4,9072.46095,9.07246095
19CS,A11076/R04060,A11076,R04060,7,256,1,SCHT,83,134.62,9073.084129,9.073084129
19CS,A08158/RTx2939,A08158,RTx2939,7,304,1,SCHV,84,170.18,9073.293674,9.073293674
19CS,ATx2931/R08297,ATx2931,R08297,21,300,2,SCHV,79,154.94,9176.979748,9.176979748
19CS,A07118/R08224,A07118,R08224,21,252,2,SCHT,83,157.48,9178.344745,9.178344745
19CS,ATx2934/R12157,ATx2934,R12157,21,298,2,SCHV,82,132.08,9245.150633,9.245150633
19CS,ATx2921/R05330,ATx2921,R05330,21,250,2,SCHT,86,172.72,9245.727144,9.245727144
19CS,A07118/R12145,A07118,R12145,19,254,2,SCHT,82,124.46,9269.705156,9.269705156
19CS,A08158/R07178,A08158,R07178,19,302,2,SCHV,82,147.32,9270.387188,9.270387188
19CS,A08134/RTx2943,A08134,RTx2943,20,323,2,SCHV,75,177.8,9279.613552,9.279613552
19CS,ATx644/RTx2935,ATx644,RTx2935,20,275,2,SCHT,80,127,9281.726068,9.281726068
19CS,A08068/RTx2941,A08068,RTx2941,15,320,2,SCHV,79,144.78,9349.85129,9.34985129
19CS,ATx2927/RTx2937,ATx2927,RTx2937,15,272,2,SCHT,79,132.08,9351.913,9.351913
19CS,A11076/R07178,A11076,R07178,7,302,1,SCHV,83,139.7,9450.628814,9.450628814
19CS,A11076/R08297,A11076,R08297,7,254,1,SCHT,82,127,9451.100559,9.451100559
19CS,A05210/R12154,A05210,R12154,21,266,2,SCHT,81,167.64,9461.310818,9.461310818
19CS,A05071/R08297,A05071,R08297,21,314,2,SCHV,80,139.7,9462.776292,9.462776292
19CS,A08134/R05405,A08134,R05405,16,301,2,SCHV,75,185.42,9472.469268,9.472469268
19CS,A07124/RTx2935,A07124,RTx2935,16,253,2,SCHT,78,147.32,9473.09417,9.47309417
19CS,ATx2930/RTx2940,ATx2930,RTx2940,13,248,2,SCHT,75,137.16,9488.382398,9.488382398
19CS,A01021/R11158,A01021,R11158,13,296,2,SCHV,75,165.1,9490.215497,9.490215497
19CS,ATx2921/R05405,ATx2921,R05405,9,294,1,SCHV,83,165.1,9530.523635,9.530523635
19CS,ATx2921/R07178,ATx2921,R07178,9,246,1,SCHT,84,144.78,9531.462603,9.531462603
19CS,ATx2921/R05405,ATx2921,R05405,16,295,2,SCHV,83,162.56,9576.582473,9.576582473
19CS,ATx2934/R05386,ATx2934,R05386,21,270,2,SCHT,77,132.08,9693.888708,9.693888708
19CS,A03093/R02107,A03093,R02107,21,276,2,SCHT,80,129.54,9695.068059,9.695068059
19CS,A06036/R04104,A06036,R04104,21,318,2,SCHV,78,121.92,9695.998772,9.695998772
19CS,A05071/RTx2942,A05071,RTx2942,21,324,2,SCHV,77,144.78,9696.102862,9.696102862
19CS,A07118/R08304,A07118,R08304,13,314,2,SCHV,81,149.86,9724.605705,9.724605705
19CS,AN290/R02107,AN290,R02107,13,266,2,SCHT,78,137.16,9724.972869,9.724972869
19CS,A01362/RTx2919,A01362,RTx2919,21,274,2,SCHT,81,116.84,9758.421092,9.758421092
19CS,A05269/R12156,A05269,R12156,21,322,2,SCHV,82,132.08,9760.633571,9.760633571
19CS,A05269/RTx2936,A05269,RTx2936,20,313,2,SCHV,82,149.86,9808.956675,9.808956675
19CS,ATx2930/R12154,ATx2930,R12154,20,265,2,SCHT,79,137.16,9809.846021,9.809846021
19CS,AKS118/RTx2916,AKS118,RTx2916,19,272,2,SCHT,81,144.78,9843.010699,9.843010699
19CS,A07124/R11208,A07124,R11208,15,308,2,SCHV,79,129.54,9853.467317,9.853467317
19CS,A05269/R05330,A05269,R05330,15,260,2,SCHT,79,165.1,9854.88546,9.85488546
19CS,A08140/R04104,A08140,R04104,7,276,1,SCHT,78,127,9977.514445,9.977514445
19CS,A08134/RTx2943,A08134,RTx2943,7,324,1,SCHV,75,157.48,9977.514445,9.977514445
19CS,A03043/R04104,A03043,R04104,21,264,2,SCHT,81,129.54,10037.85819,10.03785819
19CS,ATx2934/RTx2941,ATx2934,RTx2941,21,312,2,SCHV,82,132.08,10038.17287,10.03817287
19CS,A05071/R04060,A05071,R04060,21,304,2,SCHV,84,142.24,10286.97781,10.28697781
19CS,ATx2931/R07161,ATx2931,R07161,15,276,2,SCHT,77,172.72,10419.64789,10.41964789
19CS,A08134/RTx2936,A08134,RTx2936,15,324,2,SCHV,72,167.64,10421.29879,10.42129879
19CS,A01021/RTx2943,A01021,RTx2943,21,294,2,SCHV,75,154.94,10500.14971,10.50014971
19CS,ATx2926/RTx2913,ATx2926,RTx2913,21,246,2,SCHT,84,147.32,10501.35542,10.50135542
19CS,A05210/RTx2937,A05210,RTx2937,21,268,2,SCHT,80,139.7,10758.3001,10.7583001
19TA,AKS116/R02107,AKS116,R02107,17,28,2,SCHT,67,157.48,3772.33276,3.77233276
19TA,A06036/RTx2940,A06036,RTx2940,26,29,2,SCHT,67,121.92,3897.86796,3.89786796
19TA,AKS116/RTx2940,AKS116,RTx2940,11,24,1,SCHT,65,147.32,3992.01936,3.99201936
19TA,AKS119/R05386,AKS119,R05386,12,27,1,SCHT,71,134.62,4017.1264,4.0171264
19TA,A03043/R08297,A03043,R08297,4,23,1,SCHT,70,137.16,4017.1264,4.0171264
19TA,AKS119/RTx2914,AKS119,RTx2914,12,31,1,SCHT,69,160.02,4224.25948,4.22425948
19TA,AKS116/R02107,AKS116,R02107,11,30,1,SCHT,69,157.48,4274.47356,4.27447356
19TA,AKS116/RTx2940,AKS116,RTx2940,29,40,2,SCHT,66,152.4,4349.79468,4.34979468
19TA,AKS116/RTx2944,AKS116,RTx2944,23,34,2,SCHT,64,137.16,4475.32988,4.47532988
19TA,AKS116/RTx2920,AKS116,RTx2920,27,38,2,SCHT,64,132.08,4657.35592,4.65735592
19TA,AKS116/RTx2920,AKS116,RTx2920,11,26,1,SCHT,65,134.62,4789.16788,4.78916788
19TA,AKS116/R12154,AKS116,R12154,11,28,1,SCHT,66,139.7,4807.99816,4.80799816
19TA,A06036/RTx2940,A06036,RTx2940,8,23,1,SCHT,66,124.46,4820.55168,4.82055168
19TA,A03054/RTx2941,A03054,RTx2941,4,37,1,SCHT,70,129.54,4820.55168,4.82055168
19TA,A03043/RTx2920,A03043,RTx2920,4,27,1,SCHT,71,142.24,4826.82844,4.82682844
19TA,AKS116/RTx2944,AKS116,RTx2944,11,22,1,SCHT,66,147.32,4877.04252,4.87704252
19TA,AN290/RTx2920,AN290,RTx2920,13,24,1,SCHT,68,137.16,4895.8728,4.8958728
19TA,A03043/R08297,A03043,R08297,32,35,2,SCHT,73,137.16,4914.70308,4.91470308
19TA,A03121/R08303,A03121,R08303,6,19,1,SCHT,72,132.08,4920.97984,4.92097984
19TA,AKS120/RTx2944,AKS120,RTx2944,13,40,1,SCHT,65,160.02,4920.97984,4.92097984
19TA,A08158/R08224,A08158,R08224,10,21,1,SCHT,73,165.1,5027.68476,5.02768476
19TA,A06036/R08306,A06036,R08306,8,19,1,SCHT,69,147.32,5033.96152,5.03396152
19TA,AKS120/R08306,AKS120,R08306,12,39,1,SCHT,67,157.48,5134.38968,5.13438968
19TA,AKS119/RTx2914,AKS119,RTx2914,31,42,2,SCHT,69,152.4,5140.66644,5.14066644
19TA,A08158/R12145,A08158,R12145,10,23,1,SCHT,73,139.7,5190.88052,5.19088052
19TA,ATx644/RTx2935,ATx644,RTx2935,17,40,1,SCHT,69,147.32,5190.88052,5.19088052
19TA,AKS119/R05386,AKS119,R05386,31,22,2,SCHT,70,132.08,5203.43404,5.20343404
19TA,ATx2923/R03248,ATx2923,R03248,14,21,1,SCHT,69,147.32,5209.7108,5.2097108
19TA,A03043/R04104,A03043,R04104,31,24,2,SCHT,71,132.08,5234.81784,5.23481784
19TA,A08158/R08224,A08158,R08224,25,28,2,SCHT,73,165.1,5253.64812,5.25364812
19TA,ATx2934/R05386,ATx2934,R05386,16,31,1,SCHT,67,137.16,5259.92488,5.25992488
19TA,AN268/R12148,AN268,R12148,13,32,1,SCHT,69,127,5297.58544,5.29758544
19TA,AKS119/R05512,AKS119,R05512,12,29,1,SCHT,70,152.4,5303.8622,5.3038622
19TA,ATx2934/R05386,ATx2934,R05386,31,30,2,SCHT,67,137.16,5310.13896,5.31013896
19TA,A03093/RTx2944,A03093,RTx2944,5,20,1,SCHT,69,119.38,5328.96924,5.32896924
19TA,ATx2931/R01302,ATx2931,R01302,16,21,1,SCHT,68,162.56,5335.246,5.335246
19TA,ATx2931/R11208,ATx2931,R11208,16,27,1,SCHT,69,111.76,5360.35304,5.36035304
19TA,AKS120/R07161,AKS120,R07161,12,37,1,SCHT,71,167.64,5360.35304,5.36035304
19TA,A08134/RTx2940,A08134,RTx2940,9,26,1,SCHT,65,139.7,5372.90656,5.37290656
19TA,A08158/RTx2917,A08158,RTx2917,10,27,1,SCHT,70,152.4,5372.90656,5.37290656
19TA,AKS119/R05512,AKS119,R05512,30,23,2,SCHT,70,139.7,5454.50444,5.45450444
19TA,ATx2930/RTx2940,ATx2930,RTx2940,16,19,1,SCHT,68,142.24,5485.88824,5.48588824
19TA,A03054/RTx2936,A03054,RTx2936,4,35,1,SCHT,69,127,5492.165,5.492165
19TA,A03043/RTx2920,A03043,RTx2920,25,34,2,SCHT,72,132.08,5498.44176,5.49844176
19TA,A08134/RTx2940,A08134,RTx2940,26,33,2,SCHT,65,132.08,5504.71852,5.50471852
19TA,ATx644/R05330,ATx644,R05330,20,37,2,SCHT,71,142.24,5510.99528,5.51099528
19TA,ATx2924/R05512,ATx2924,R05512,14,35,1,SCHT,71,147.32,5510.99528,5.51099528
19TA,AKS119/RTx2919,AKS119,RTx2919,12,33,1,SCHT,70,157.48,5510.99528,5.51099528
19TA,A06035/RTx2917,A06035,RTx2917,7,20,1,SCHT,70,129.54,5523.5488,5.5235488
19TA,ATx2927/RTx2937,ATx2927,RTx2937,15,26,1,SCHT,70,139.7,5523.5488,5.5235488
19TA,ATx644/R05330,ATx644,R05330,17,42,1,SCHT,72,149.86,5536.10232,5.53610232
19TA,ATx2930/R02107,ATx2930,R02107,15,24,1,SCHT,69,157.48,5573.76288,5.57376288
19TA,A05210/R05405,A05210,R05405,6,37,1,SCHT,70,172.72,5573.76288,5.57376288
19TA,A11085/RTx2942,A11085,RTx2942,11,32,1,SCHT,68,144.78,5598.86992,5.59886992
19TA,A03043/R04104,A03043,R04104,4,19,1,SCHT,72,134.62,5605.14668,5.60514668
19TA,AKS116/R12154,AKS116,R12154,27,32,2,SCHT,68,137.16,5611.42344,5.61142344
19TA,ATx2923/RTx2936,ATx2923,RTx2936,14,31,1,SCHT,71,154.94,5617.7002,5.6177002
19TA,A03093/R02107,A03093,R02107,5,30,1,SCHT,70,132.08,5630.25372,5.63025372
19TA,AKS120/RTx2944,AKS120,RTx2944,23,20,2,SCHT,65,154.94,5636.53048,5.63653048
19TA,A05210/R03248,A05210,R03248,6,35,1,SCHT,69,144.78,5655.36076,5.65536076
19TA,A08068/R11158,A08068,R11158,9,40,1,SCHT,69,147.32,5661.63752,5.66163752
19TA,AKS120/R04060,AKS120,R04060,12,35,1,SCHT,71,154.94,5686.74456,5.68674456
19TA,A03040/R12071,A03040,R12071,3,24,1,SCHT,66,152.4,5693.02132,5.69302132
19TA,AKS117/R12148,AKS117,R12148,11,20,1,SCHT,71,142.24,5705.57484,5.70557484
19TA,A03121/R08303,A03121,R08303,29,20,2,SCHT,74,144.78,5711.8516,5.7118516
19TA,A05071/RTx2936,A05071,RTx2936,28,35,2,SCHT,69,137.16,5718.12836,5.71812836
19TA,A05210/R08224,A05210,R08224,6,39,1,SCHT,73,172.72,5736.95864,5.73695864
19TA,A03089/RTx2917,A03089,RTx2917,5,32,1,SCHT,70,144.78,5749.51216,5.74951216
19TA,A03055/RTx2944,A03055,RTx2944,5,38,1,SCHT,69,137.16,5774.6192,5.7746192
19TA,ATx644/RTx2935,ATx644,RTx2935,31,38,2,SCHT,69,142.24,5774.6192,5.7746192
19TA,A07124/RTx2935,A07124,RTx2935,8,41,1,SCHT,69,132.08,5780.89596,5.78089596
19TA,A01362/RTx2919,A01362,RTx2919,2,41,1,SCHT,70,134.62,5780.89596,5.78089596
19TA,A03121/RTx2913,A03121,RTx2913,6,21,1,SCHT,73,152.4,5818.55652,5.81855652
19TA,A01021/R02107,A01021,R02107,29,32,2,SCHT,67,157.48,5818.55652,5.81855652
19TA,A01021/R02107,A01021,R02107,2,17,1,SCHT,69,152.4,5824.83328,5.82483328
19TA,A01046/R05386,A01046,R05386,2,27,1,SCHT,70,119.38,5831.11004,5.83111004
19TA,A05071/R02107,A05071,R02107,6,25,1,SCHT,69,139.7,5837.3868,5.8373868
