wave,V1,V2
638,0.806128047,1.69E-84
638.5,0.805753685,2.30E-84
639,0.805377465,3.15E-84
639.5,0.804999464,4.31E-84
640,0.804619665,5.91E-84
640.5,0.804238012,8.10E-84
641,0.803854702,1.11E-83
641.5,0.803469629,1.52E-83
642,0.803082879,2.09E-83
642.5,0.802694458,2.88E-83
643,0.80230443,3.96E-83
643.5,0.801912792,5.45E-83
644,0.801519695,7.50E-83
644.5,0.801125159,1.03E-82
645,0.800729177,1.42E-82
645.5,0.800331809,1.96E-82
646,0.799933181,2.71E-82
646.5,0.79953335,3.74E-82
647,0.799132392,5.15E-82
647.5,0.798730404,7.11E-82
648,0.798327431,9.81E-82
648.5,0.797923695,1.35E-81
649,0.797519024,1.87E-81
649.5,0.797113619,2.58E-81
650,0.796707532,3.55E-81
650.5,0.79630067,4.90E-81
651,0.795893199,6.76E-81
651.5,0.79548499,9.31E-81
652,0.795076063,1.28E-80
652.5,0.794666431,1.77E-80
653,0.79425601,2.44E-80
653.5,0.793844868,3.36E-80
654,0.793432916,4.63E-80
654.5,0.793020072,6.37E-80
655,0.792606419,8.78E-80
655.5,0.792191845,1.21E-79
656,0.791776379,1.66E-79
656.5,0.79135995,2.29E-79
657,0.79094263,3.16E-79
657.5,0.790524268,4.35E-79
658,0.790105075,5.99E-79
658.5,0.789684831,8.25E-79
659,0.789263724,1.14E-78
659.5,0.788841568,1.56E-78
660,0.788418402,2.15E-78
660.5,0.787994166,2.97E-78
661,0.787568889,4.09E-78
661.5,0.787142558,5.63E-78
662,0.786715094,7.75E-78
662.5,0.786286458,1.07E-77
663,0.785856618,1.47E-77
663.5,0.785425648,2.03E-77
664,0.784993403,2.80E-77
664.5,0.784560004,3.86E-77
665,0.784125397,5.32E-77
665.5,0.783689606,7.33E-77
666,0.783252722,1.01E-76
666.5,0.782814638,1.39E-76
667,0.782375335,1.92E-76
667.5,0.78193494,2.65E-76
668,0.781493404,3.66E-76
668.5,0.781050791,5.05E-76
669,0.780607027,6.97E-76
669.5,0.78016211,9.62E-76
670,0.779716098,1.33E-75
670.5,0.779268952,1.83E-75
671,0.778820703,2.53E-75
671.5,0.778371277,3.49E-75
672,0.777920737,4.82E-75
672.5,0.77746908,6.65E-75
673,0.777016243,9.18E-75
673.5,0.776562344,1.27E-74
674,0.776107341,1.75E-74
674.5,0.77565124,2.41E-74
675,0.77519415,3.33E-74
675.5,0.774736073,4.60E-74
676,0.774277181,6.35E-74
676.5,0.773817382,8.76E-74
677,0.773356925,1.21E-73
677.5,0.772895783,1.67E-73
678,0.772434027,2.30E-73
678.5,0.77197177,3.17E-73
679,0.771509099,4.36E-73
679.5,0.771045987,6.00E-73
680,0.770582547,8.26E-73
680.5,0.770118737,1.14E-72
681,0.769654615,1.56E-72
681.5,0.76919027,2.15E-72
682,0.768725686,2.95E-72
682.5,0.768260807,4.04E-72
683,0.76779571,5.55E-72
683.5,0.767330357,7.60E-72
684,0.766864775,1.04E-71
684.5,0.766398917,1.43E-71
685,0.765932741,1.95E-71
685.5,0.765466302,2.67E-71
686,0.764999621,3.65E-71
686.5,0.76453245,4.98E-71
687,0.764064981,6.81E-71
