"","pedigree","female","male","env","blue"
"153","A06036/RTx2940","A06036","RTx2940","19CS",8915.3321
"154","A07118/R07161","A07118","R07161","19CS",5308.781
"155","A07118/R08224","A07118","R08224","19CS",7322.5231
"156","A07118/R08304","A07118","R08304","19CS",9374.1062
"157","A07118/R12145","A07118","R12145","19CS",9146.1095
"158","A07118/R12148","A07118","R12148","19CS",7287.5139
"159","A07118/R12157","A07118","R12157","19CS",5611.5242
"160","A07118/RTx2919","A07118","RTx2919","19CS",7973.5395
"161","A07118/RTx2944","A07118","RTx2944","19CS",7254.2664
"162","A07124/R01302","A07124","R01302","19CS",7680.3457
"163","A07124/R04060","A07124","R04060","19CS",7613.2168
"164","A07124/R05330","A07124","R05330","19CS",8473.9228
"165","A07124/R05425","A07124","R05425","19CS",8663.8294
"166","A07124/R07178","A07124","R07178","19CS",7428.3567
"167","A07124/R11158","A07124","R11158","19CS",7479.6577
"168","A07124/R11208","A07124","R11208","19CS",9042.9381
"169","A07124/RTx2917","A07124","RTx2917","19CS",7599.126
"170","A07124/RTx2919","A07124","RTx2919","19CS",6769.4551
"171","A07124/RTx2935","A07124","RTx2935","19CS",6229.8594
"172","A07124/RTx2943","A07124","RTx2943","19CS",7889.5592
"173","A08068/R03248","A08068","R03248","19CS",6687.7947
"174","A08068/R07161","A08068","R07161","19CS",8153.3041
"175","A08068/R11158","A08068","R11158","19CS",7376.3973
"176","A08068/R12156","A08068","R12156","19CS",6954.3658
"177","A08068/RTx2919","A08068","RTx2919","19CS",7594.9463
"178","A08068/RTx2941","A08068","RTx2941","19CS",8327.8354
"179","A08134/R02107","A08134","R02107","19CS",6279.672
"180","A08134/R04060","A08134","R04060","19CS",7077.5793
"181","A08134/R05405","A08134","R05405","19CS",9036.3736
"182","A08134/R07178","A08134","R07178","19CS",8153.8412
"183","A08134/R08297","A08134","R08297","19CS",7961.594
"184","A08134/R11158","A08134","R11158","19CS",6295.0143
"185","A08134/R12148","A08134","R12148","19CS",7995.4123
"186","A08134/RTx2918","A08134","RTx2918","19CS",7641.0661
"187","A08134/RTx2936","A08134","RTx2936","19CS",9283.566
"188","A08134/RTx2940","A08134","RTx2940","19CS",7870.4755
"189","A08134/RTx2943","A08134","RTx2943","19CS",9628.564
"190","A08140/R04060","A08140","R04060","19CS",8465.0108
"191","A08140/R04104","A08140","R04104","19CS",8291.1882
"192","A08140/R05386","A08140","R05386","19CS",7914.0975
"193","A08140/R07178","A08140","R07178","19CS",8947.4501
"194","A08140/R08303","A08140","R08303","19CS",8656.3266
"195","A08140/R12148","A08140","R12148","19CS",8126.2379
"196","A08140/R12156","A08140","R12156","19CS",7338.1091
"197","A08140/RTx2942","A08140","RTx2942","19CS",7916.9544
"198","A08158/R01302","A08158","R01302","19CS",7006.5814
"199","A08158/R03248","A08158","R03248","19CS",7406.0281
"200","A08158/R05330","A08158","R05330","19CS",7234.8282
"201","A08158/R07178","A08158","R07178","19CS",8698.673
"202","A08158/R08224","A08158","R08224","19CS",7495.8508
"203","A08158/R12071","A08158","R12071","19CS",7376.4637
"204","A08158/R12145","A08158","R12145","19CS",7373.4081
"205","A08158/R12154","A08158","R12154","19CS",6956.8347
"206","A08158/RTx2912","A08158","RTx2912","19CS",5173.8434
"207","A08158/RTx2914","A08158","RTx2914","19CS",7591.6286
"208","A08158/RTx2917","A08158","RTx2917","19CS",5739.3998
"209","A08158/RTx2939","A08158","RTx2939","19CS",8710.53
"210","A11076/R04060","A11076","R04060","19CS",8641.6705
"211","A11076/R07178","A11076","R07178","19CS",8357.5969
"212","A11076/R08297","A11076","R08297","19CS",8528.1258
"213","A11076/R12148","A11076","R12148","19CS",6916.8771
"214","A11076/R12154","A11076","R12154","19CS",7994.4674
"215","A11076/RTx2918","A11076","RTx2918","19CS",7388.2574
"216","A11076/RTx2938","A11076","RTx2938","19CS",7389.4182
"217","A11076/RTx2940","A11076","RTx2940","19CS",6686.9307
"218","A11085/R02107","A11085","R02107","19CS",7370.0691
"219","A11085/R03248","A11085","R03248","19CS",5865.4634
"220","A11085/R04104","A11085","R04104","19CS",7915.5752
"221","A11085/R07178","A11085","R07178","19CS",6171.8071
"222","A11085/R12148","A11085","R12148","19CS",6941.9464
"223","A11085/RTx2942","A11085","RTx2942","19CS",7582.9816
"224","A11085/RTx2944","A11085","RTx2944","19CS",6782.9629
"225","AHF14/R07161","AHF14","R07161","19CS",7264.3119
"226","AHF14/RTx2943","AHF14","RTx2943","19CS",7860.1704
"227","AKS116/R02107","AKS116","R02107","19CS",6934.7917
"228","AKS116/R08303","AKS116","R08303","19CS",7264.1501
"229","AKS116/R12154","AKS116","R12154","19CS",8205.6312
"230","AKS116/RTx2917","AKS116","RTx2917","19CS",6225.8889
"231","AKS116/RTx2920","AKS116","RTx2920","19CS",7319.8143
"232","AKS116/RTx2936","AKS116","RTx2936","19CS",6546.6692
"233","AKS116/RTx2940","AKS116","RTx2940","19CS",8159.9984
"234","AKS116/RTx2942","AKS116","RTx2942","19CS",7013.1596
"235","AKS116/RTx2944","AKS116","RTx2944","19CS",7505.9945
"236","AKS117/R01302","AKS117","R01302","19CS",5170.2874
"237","AKS117/R12148","AKS117","R12148","19CS",6648.2264
"238","AKS117/RTx2914","AKS117","RTx2914","19CS",5076.3121
"239","AKS117/RTx2942","AKS117","RTx2942","19CS",6232.3321
"240","AKS118/R08303","AKS118","R08303","19CS",7273.8727
"241","AKS118/R12156","AKS118","R12156","19CS",7668.3277
"242","AKS118/RTx2912","AKS118","RTx2912","19CS",7253.8945
"243","AKS118/RTx2916","AKS118","RTx2916","19CS",8141.39
"244","AKS118/RTx2918","AKS118","RTx2918","19CS",6436.0282
"245","AKS118/RTx2935","AKS118","RTx2935","19CS",5001.04
"246","AKS118/RTx2943","AKS118","RTx2943","19CS",7627.5321
"247","AKS119/R01302","AKS119","R01302","19CS",6048.4951
"248","AKS119/R05386","AKS119","R05386","19CS",7281.976
"249","AKS119/R05393","AKS119","R05393","19CS",3233.7978
"250","AKS119/R05512","AKS119","R05512","19CS",5098.8698
"251","AKS119/R08304","AKS119","R08304","19CS",6436.3144
"252","AKS119/RTx2914","AKS119","RTx2914","19CS",7113.986
"253","AKS119/RTx2918","AKS119","RTx2918","19CS",6217.5058
"254","AKS119/RTx2919","AKS119","RTx2919","19CS",6642.0668
"255","AKS120/R04060","AKS120","R04060","19CS",6033.627
"256","AKS120/R05425","AKS120","R05425","19CS",8029.7239
"257","AKS120/R07161","AKS120","R07161","19CS",7715.68
"258","AKS120/R08303","AKS120","R08303","19CS",7831.8506
"259","AKS120/R08306","AKS120","R08306","19CS",6907.7959
"260","AKS120/R12071","AKS120","R12071","19CS",6455.9247
"261","AKS120/RTx2918","AKS120","R12148","19CS",6901.5168
"262","AKS120/RTx2935","AKS120","RTx2935","19CS",7626.2033
"263","AKS120/RTx2942","AKS120","RTx2942","19CS",6749.6755
"264","AN263/R08224","AN263","R08224","19CS",4980.6788
"265","AN263/R11208","AN263","R11208","19CS",5823.3528
"266","AN263/R12148","AN263","R12148","19CS",7412.325
"267","AN263/RTx2935","AN263","RTx2935","19CS",7985.4715
"268","AN263/RTx2936","AN263","RTx2936","19CS",7995.998
"269","AN263/RTx2938","AN263","RTx2938","19CS",7480.8638
"270","AN268/R11158","AN268","R11158","19CS",5495.2157
"271","AN268/R12148","AN268","R12148","19CS",6436.4873
"272","AN268/R12154","AN268","R12154","19CS",4991.8997
"273","AN290/R02107","AN290","R02107","19CS",7083.5154
"274","AN290/R03248","AN290","R03248","19CS",7905.3968
"275","AN290/R05386","AN290","R05386","19CS",6956.619
"276","AN290/R07161","AN290","R07161","19CS",7770.7372
"277","AN290/R12154","AN290","R12154","19CS",8207.1536
"278","AN290/RTx2917","AN290","RTx2917","19CS",6410.4171
"279","AN290/RTx2920","AN290","RTx2920","19CS",6294.9285
"280","AN290/RTx2942","AN290","RTx2942","19CS",7294.9244
"281","AN290/RTx2943","AN290","RTx2943","19CS",7227.7435
"282","ATx2921/R01302","ATx2921","R01302","19CS",8409.9134
