pedigree,female,male,env,blue
A08134/RTx2918,A08134,RTx2918,19CS,76.5
A08134/RTx2936,A08134,RTx2936,19CS,72
A08134/RTx2940,A08134,RTx2940,19CS,70.5
A08134/RTx2943,A08134,RTx2943,19CS,75
A08140/R04060,A08140,R04060,19CS,79
A08140/R04104,A08140,R04104,19CS,77
A08140/R05386,A08140,R05386,19CS,77.5
A08140/R07178,A08140,R07178,19CS,80
A08140/R08303,A08140,R08303,19CS,77.5
A08140/R12148,A08140,R12148,19CS,80.5
A08140/R12156,A08140,R12156,19CS,80.5
A08140/RTx2942,A08140,RTx2942,19CS,77
A08158/R01302,A08158,R01302,19CS,81
A08158/R03248,A08158,R03248,19CS,79.5
A08158/R05330,A08158,R05330,19CS,83
A08158/R07178,A08158,R07178,19CS,81.5
A08158/R08224,A08158,R08224,19CS,83.5
A08158/R12071,A08158,R12071,19CS,78
A08158/R12145,A08158,R12145,19CS,85
A08158/R12154,A08158,R12154,19CS,82
A08158/RTx2912,A08158,RTx2912,19CS,85
A08158/RTx2914,A08158,RTx2914,19CS,82
A08158/RTx2917,A08158,RTx2917,19CS,82
A08158/RTx2939,A08158,RTx2939,19CS,85
A11076/R04060,A11076,R04060,19CS,83.5
A11076/R07178,A11076,R07178,19CS,83
A11076/R08297,A11076,R08297,19CS,82
A11076/R12148,A11076,R12148,19CS,81.5
A11076/R12154,A11076,R12154,19CS,81.5
A11076/RTx2918,A11076,RTx2918,19CS,80.75
A11076/RTx2938,A11076,RTx2938,19CS,82.5
A11076/RTx2940,A11076,RTx2940,19CS,75.5
A11085/R02107,A11085,R02107,19CS,78
A11085/R03248,A11085,R03248,19CS,78.5
A11085/R04104,A11085,R04104,19CS,75.5
A11085/R07178,A11085,R07178,19CS,78.5
A11085/R12148,A11085,R12148,19CS,78
A11085/RTx2942,A11085,RTx2942,19CS,77.5
A11085/RTx2944,A11085,RTx2944,19CS,73.5
AHF14/R07161,AHF14,R07161,19CS,81
AHF14/RTx2943,AHF14,RTx2943,19CS,82
AKS116/R02107,AKS116,R02107,19CS,78.5
AKS116/R08303,AKS116,R08303,19CS,77
AKS116/R12154,AKS116,R12154,19CS,76.5
AKS116/RTx2917,AKS116,RTx2917,19CS,78
AKS116/RTx2920,AKS116,RTx2920,19CS,74
AKS116/RTx2936,AKS116,RTx2936,19CS,78.5
AKS116/RTx2940,AKS116,RTx2940,19CS,75
AKS116/RTx2942,AKS116,RTx2942,19CS,79.5
AKS116/RTx2944,AKS116,RTx2944,19CS,74.5
AKS117/R01302,AKS117,R01302,19CS,79.5
AKS117/R12148,AKS117,R12148,19CS,82
AKS117/RTx2914,AKS117,RTx2914,19CS,82
AKS117/RTx2942,AKS117,RTx2942,19CS,82
AKS118/R08303,AKS118,R08303,19CS,77
AKS118/R12156,AKS118,R12156,19CS,82
AKS118/RTx2912,AKS118,RTx2912,19CS,80
AKS118/RTx2916,AKS118,RTx2916,19CS,80
AKS118/RTx2918,AKS118,RTx2918,19CS,81.5
AKS118/RTx2935,AKS118,RTx2935,19CS,80
AKS118/RTx2943,AKS118,RTx2943,19CS,81.5
AKS119/R01302,AKS119,R01302,19CS,76
AKS119/R05386,AKS119,R05386,19CS,80.5
AKS119/R05393,AKS119,R05393,19CS,80.5
AKS119/R05512,AKS119,R05512,19CS,79.5
AKS119/R08304,AKS119,R08304,19CS,78.5
AKS119/RTx2914,AKS119,RTx2914,19CS,76
AKS119/RTx2918,AKS119,RTx2918,19CS,79
AKS119/RTx2919,AKS119,RTx2919,19CS,81
AKS120/R04060,AKS120,R04060,19CS,78.5
AKS120/R05425,AKS120,R05425,19CS,78
AKS120/R07161,AKS120,R07161,19CS,79
AKS120/R08303,AKS120,R08303,19CS,78
AKS120/R08306,AKS120,R08306,19CS,75
AKS120/R12071,AKS120,R12071,19CS,76
AKS120/RTx2918,AKS120,R12148,19CS,77
AKS120/RTx2935,AKS120,RTx2935,19CS,76.5
AKS120/RTx2942,AKS120,RTx2942,19CS,77.5
AN263/R08224,AN263,R08224,19CS,87.5
AN263/R11208,AN263,R11208,19CS,80
AN263/R12148,AN263,R12148,19CS,79
AN263/RTx2935,AN263,RTx2935,19CS,82
AN263/RTx2936,AN263,RTx2936,19CS,79.5
AN263/RTx2938,AN263,RTx2938,19CS,80
AN268/R11158,AN268,R11158,19CS,76
AN268/R12148,AN268,R12148,19CS,75.5
AN268/R12154,AN268,R12154,19CS,78
AN290/R02107,AN290,R02107,19CS,79
AN290/R03248,AN290,R03248,19CS,79
AN290/R05386,AN290,R05386,19CS,78
AN290/R07161,AN290,R07161,19CS,82
AN290/R12154,AN290,R12154,19CS,80.5
AN290/RTx2917,AN290,RTx2917,19CS,80
AN290/RTx2920,AN290,RTx2920,19CS,77
AN290/RTx2942,AN290,RTx2942,19CS,79.5
AN290/RTx2943,AN290,RTx2943,19CS,79
ATx2921/R01302,ATx2921,R01302,19CS,83.5
ATx2921/R05330,ATx2921,R05330,19CS,84.5
ATx2921/R05405,ATx2921,R05405,19CS,83
ATx2921/R07178,ATx2921,R07178,19CS,83
ATx2921/R12145,ATx2921,R12145,19CS,86.5
ATx2921/R12157,ATx2921,R12157,19CS,83.5
ATx2921/RTx2914,ATx2921,RTx2914,19CS,84
ATx2921/RTx2918,ATx2921,RTx2918,19CS,82
ATx2923/R03248,ATx2923,R03248,19CS,76.5
ATx2923/R04104,ATx2923,R04104,19CS,79
ATx2923/R05330,ATx2923,R05330,19CS,82
ATx2923/R05405,ATx2923,R05405,19CS,77
ATx2923/R05425,ATx2923,R05425,19CS,79
ATx2923/R08297,ATx2923,R08297,19CS,78
ATx2923/R11158,ATx2923,R11158,19CS,81
ATx2923/R11208,ATx2923,R11208,19CS,81
ATx2923/R12145,ATx2923,R12145,19CS,83.5
ATx2923/RTx2913,ATx2923,RTx2913,19CS,81
ATx2923/RTx2917,ATx2923,RTx2917,19CS,80.5
ATx2923/RTx2936,ATx2923,RTx2936,19CS,79.5
ATx2924/R04060,ATx2924,R04060,19CS,82.5
ATx2924/R05386,ATx2924,R05386,19CS,79
ATx2924/R05393,ATx2924,R05393,19CS,81.5
ATx2924/R05512,ATx2924,R05512,19CS,83
ATx2924/R08224,ATx2924,R08224,19CS,81.5
ATx2924/R11158,ATx2924,R11158,19CS,78.5
ATx2924/R12145,ATx2924,R12145,19CS,83.5
ATx2924/RTx2918,ATx2924,RTx2918,19CS,80
ATx2924/RTx2920,ATx2924,RTx2920,19CS,78
ATx2924/RTx2936,ATx2924,RTx2936,19CS,80
ATx2924/RTx2940,ATx2924,RTx2940,19CS,77
ATx2924/RTx2941,ATx2924,RTx2941,19CS,80
ATx2926/R01302,ATx2926,R01302,19CS,81.5
ATx2926/R05393,ATx2926,R05393,19CS,81
ATx2926/R05405,ATx2926,R05405,19CS,79
ATx2926/R07161,ATx2926,R07161,19CS,82
ATx2926/R08297,ATx2926,R08297,19CS,80
ATx2926/R08304,ATx2926,R08304,19CS,78.5
ATx2926/R12154,ATx2926,R12154,19CS,82
ATx2926/RTx2913,ATx2926,RTx2913,19CS,82.5
ATx2926/RTx2917,ATx2926,RTx2917,19CS,81
ATx2926/RTx2919,ATx2926,RTx2919,19CS,78
ATx2926/RTx2944,ATx2926,RTx2944,19CS,78
ATx2927/R12157,ATx2927,R12157,19CS,80.5
ATx2927/RTx2936,ATx2927,RTx2936,19CS,79
ATx2927/RTx2937,ATx2927,RTx2937,19CS,79
ATx2930/R01302,ATx2930,R01302,19CS,76
ATx2930/R02107,ATx2930,R02107,19CS,76.5
ATx2930/R03248,ATx2930,R03248,19CS,77
ATx2930/R05393,ATx2930,R05393,19CS,78
ATx2930/R05425,ATx2930,R05425,19CS,77
ATx2930/R07178,ATx2930,R07178,19CS,79.5
ATx2930/R08303,ATx2930,R08303,19CS,76
ATx2930/R11158,ATx2930,R11158,19CS,77.5
ATx2930/R12148,ATx2930,R12148,19CS,80.5
ATx2930/R12154,ATx2930,R12154,19CS,78
ATx2930/RTx2920,ATx2930,RTx2920,19CS,76.5
ATx2930/RTx2940,ATx2930,RTx2940,19CS,74
ATx2930/RTx2942,ATx2930,RTx2942,19CS,79.5
ATx2931/R01302,ATx2931,R01302,19CS,76.5
ATx2931/R05405,ATx2931,R05405,19CS,76.5
ATx2931/R07161,ATx2931,R07161,19CS,78
ATx2931/R08297,ATx2931,R08297,19CS,78
ATx2931/R08304,ATx2931,R08304,19CS,78.5
ATx2931/R08306,ATx2931,R08306,19CS,77
ATx2931/R11208,ATx2931,R11208,19CS,77.5
ATx2931/RTx2936,ATx2931,RTx2936,19CS,79.5
ATx2931/RTx2940,ATx2931,RTx2940,19CS,74.5
ATx2931/RTx2943,ATx2931,RTx2943,19CS,79.5
ATx2934/R05386,ATx2934,R05386,19CS,77
ATx2934/R08297,ATx2934,R08297,19CS,81
ATx2934/R11208,ATx2934,R11208,19CS,82
ATx2934/R12157,ATx2934,R12157,19CS,82
ATx2934/RTx2935,ATx2934,RTx2935,19CS,79.5
ATx2934/RTx2941,ATx2934,RTx2941,19CS,82
ATx3408/R05330,ATx3408,R05330,19CS,83.5
ATx3408/R12145,ATx3408,R12145,19CS,86.5
ATx3408/RTx2935,ATx3408,RTx2935,19CS,83
ATx3409/R08224,ATx3409,R08224,19CS,86.5
ATx644/R05330,ATx644,R05330,19CS,82
