"","pedigree","female","male","env","blue"
"177","A08068/RTx2919","A08068","RTx2919","19CS",133.35
"178","A08068/RTx2941","A08068","RTx2941","19CS",137.16
"179","A08134/R02107","A08134","R02107","19CS",140.97
"180","A08134/R04060","A08134","R04060","19CS",137.16
"181","A08134/R05405","A08134","R05405","19CS",182.88
"182","A08134/R07178","A08134","R07178","19CS",132.08
"183","A08134/R08297","A08134","R08297","19CS",137.16
"184","A08134/R11158","A08134","R11158","19CS",156.21
"185","A08134/R12148","A08134","R12148","19CS",153.67
"186","A08134/RTx2918","A08134","RTx2918","19CS",147.32
"187","A08134/RTx2936","A08134","RTx2936","19CS",163.83
"188","A08134/RTx2940","A08134","RTx2940","19CS",143.51
"189","A08134/RTx2943","A08134","RTx2943","19CS",167.64
"190","A08140/R04060","A08140","R04060","19CS",148.59
"191","A08140/R04104","A08140","R04104","19CS",130.81
"192","A08140/R05386","A08140","R05386","19CS",138.43
"193","A08140/R07178","A08140","R07178","19CS",139.7
"194","A08140/R08303","A08140","R08303","19CS",129.54
"195","A08140/R12148","A08140","R12148","19CS",151.13
"196","A08140/R12156","A08140","R12156","19CS",134.62
"197","A08140/RTx2942","A08140","RTx2942","19CS",142.24
"198","A08158/R01302","A08158","R01302","19CS",146.05
"199","A08158/R03248","A08158","R03248","19CS",146.05
"200","A08158/R05330","A08158","R05330","19CS",157.48
"201","A08158/R07178","A08158","R07178","19CS",149.86
"202","A08158/R08224","A08158","R08224","19CS",171.45
"203","A08158/R12071","A08158","R12071","19CS",142.24
"204","A08158/R12145","A08158","R12145","19CS",133.35
"205","A08158/R12154","A08158","R12154","19CS",151.13
"206","A08158/RTx2912","A08158","RTx2912","19CS",147.32
"207","A08158/RTx2914","A08158","RTx2914","19CS",146.05
"208","A08158/RTx2917","A08158","RTx2917","19CS",138.43
"209","A08158/RTx2939","A08158","RTx2939","19CS",168.91
"210","A11076/R04060","A11076","R04060","19CS",133.35
"211","A11076/R07178","A11076","R07178","19CS",138.43
"212","A11076/R08297","A11076","R08297","19CS",128.27
"213","A11076/R12148","A11076","R12148","19CS",124.46
"214","A11076/R12154","A11076","R12154","19CS",144.78
"215","A11076/RTx2918","A11076","RTx2918","19CS",135.89
"216","A11076/RTx2938","A11076","RTx2938","19CS",137.16
"217","A11076/RTx2940","A11076","RTx2940","19CS",135.89
"218","A11085/R02107","A11085","R02107","19CS",143.51
"219","A11085/R03248","A11085","R03248","19CS",133.35
"220","A11085/R04104","A11085","R04104","19CS",124.46
"221","A11085/R07178","A11085","R07178","19CS",133.35
"222","A11085/R12148","A11085","R12148","19CS",138.43
"223","A11085/RTx2942","A11085","RTx2942","19CS",138.43
"224","A11085/RTx2944","A11085","RTx2944","19CS",143.51
"225","AHF14/R07161","AHF14","R07161","19CS",147.32
"226","AHF14/RTx2943","AHF14","RTx2943","19CS",138.43
"227","AKS116/R02107","AKS116","R02107","19CS",138.43
"228","AKS116/R08303","AKS116","R08303","19CS",137.16
"229","AKS116/R12154","AKS116","R12154","19CS",129.54
"230","AKS116/RTx2917","AKS116","RTx2917","19CS",128.27
"231","AKS116/RTx2920","AKS116","RTx2920","19CS",111.76
"232","AKS116/RTx2936","AKS116","RTx2936","19CS",152.4
"233","AKS116/RTx2940","AKS116","RTx2940","19CS",129.54
"234","AKS116/RTx2942","AKS116","RTx2942","19CS",123.19
"235","AKS116/RTx2944","AKS116","RTx2944","19CS",134.62
"236","AKS117/R01302","AKS117","R01302","19CS",120.65
"237","AKS117/R12148","AKS117","R12148","19CS",125.73
"238","AKS117/RTx2914","AKS117","RTx2914","19CS",142.24
"239","AKS117/RTx2942","AKS117","RTx2942","19CS",135.89
"240","AKS118/R08303","AKS118","R08303","19CS",134.62
"241","AKS118/R12156","AKS118","R12156","19CS",121.92
"242","AKS118/RTx2912","AKS118","RTx2912","19CS",146.05
"243","AKS118/RTx2916","AKS118","RTx2916","19CS",143.51
"244","AKS118/RTx2918","AKS118","RTx2918","19CS",128.27
"245","AKS118/RTx2935","AKS118","RTx2935","19CS",139.7
"246","AKS118/RTx2943","AKS118","RTx2943","19CS",146.05
"247","AKS119/R01302","AKS119","R01302","19CS",149.86
"248","AKS119/R05386","AKS119","R05386","19CS",130.81
"249","AKS119/R05393","AKS119","R05393","19CS",132.08
"250","AKS119/R05512","AKS119","R05512","19CS",160.02
"251","AKS119/R08304","AKS119","R08304","19CS",167.64
