pedigree,female,male,env,blue
AKS116/RTx2917,AKS116,RTx2917,19CS,2.9
AKS116/RTx2920,AKS116,RTx2920,19CS,2.115
AKS116/RTx2936,AKS116,RTx2936,19CS,3.19
AKS116/RTx2940,AKS116,RTx2940,19CS,2.49
AKS116/RTx2942,AKS116,RTx2942,19CS,2.815
AKS116/RTx2944,AKS116,RTx2944,19CS,2.57
AKS117/R01302,AKS117,R01302,19CS,2.88
AKS117/R12148,AKS117,R12148,19CS,2.775
AKS117/RTx2914,AKS117,RTx2914,19CS,2.76
AKS117/RTx2942,AKS117,RTx2942,19CS,2.815
AKS118/R08303,AKS118,R08303,19CS,3.065
AKS118/R12156,AKS118,R12156,19CS,2.93
AKS118/RTx2912,AKS118,RTx2912,19CS,3.275
AKS118/RTx2916,AKS118,RTx2916,19CS,3.29
AKS118/RTx2918,AKS118,RTx2918,19CS,3.195
AKS118/RTx2935,AKS118,RTx2935,19CS,3.465
AKS118/RTx2943,AKS118,RTx2943,19CS,3.315
AKS119/R01302,AKS119,R01302,19CS,2.985
AKS119/R05386,AKS119,R05386,19CS,2.84
AKS119/R05393,AKS119,R05393,19CS,3.365
AKS119/R05512,AKS119,R05512,19CS,3.01
AKS119/R08304,AKS119,R08304,19CS,3.295
AKS119/RTx2914,AKS119,RTx2914,19CS,2.96
AKS119/RTx2918,AKS119,RTx2918,19CS,3.19
AKS119/RTx2919,AKS119,RTx2919,19CS,3.18
AKS120/R04060,AKS120,R04060,19CS,3.01
AKS120/R05425,AKS120,R05425,19CS,2.97
AKS120/R07161,AKS120,R07161,19CS,3.355
AKS120/R08303,AKS120,R08303,19CS,2.925
AKS120/R08306,AKS120,R08306,19CS,2.935
AKS120/R12071,AKS120,R12071,19CS,2.79
AKS120/RTx2918,AKS120,RTx2918,19CS,3.01
AKS120/RTx2935,AKS120,RTx2935,19CS,3.145
AKS120/RTx2942,AKS120,RTx2942,19CS,3.105
AN263/R08224,AN263,R08224,19CS,3.455
AN263/R11208,AN263,R11208,19CS,2.755
AN263/R12148,AN263,R12148,19CS,2.72
AN263/RTx2935,AN263,RTx2935,19CS,2.845
AN263/RTx2936,AN263,RTx2936,19CS,3.23
AN263/RTx2938,AN263,RTx2938,19CS,2.965
AN268/R11158,AN268,R11158,19CS,2.715
AN268/R12148,AN268,R12148,19CS,2.69
AN268/R12154,AN268,R12154,19CS,3.12
AN290/R02107,AN290,R02107,19CS,2.595
AN290/R03248,AN290,R03248,19CS,2.955
AN290/R05386,AN290,R05386,19CS,1.96
AN290/R07161,AN290,R07161,19CS,3.23
AN290/R12154,AN290,R12154,19CS,2.885
AN290/RTx2917,AN290,RTx2917,19CS,2.75
AN290/RTx2920,AN290,RTx2920,19CS,2.82
AN290/RTx2942,AN290,RTx2942,19CS,3.025
AN290/RTx2943,AN290,RTx2943,19CS,3.005
ATx2921/R01302,ATx2921,R01302,19CS,2.665
ATx2921/R05330,ATx2921,R05330,19CS,2.665
ATx2921/R05405,ATx2921,R05405,19CS,2.675
ATx2921/R07178,ATx2921,R07178,19CS,2.77
ATx2921/R12145,ATx2921,R12145,19CS,2.105
ATx2921/R12157,ATx2921,R12157,19CS,2.495
ATx2921/RTx2914,ATx2921,RTx2914,19CS,2.08
ATx2921/RTx2918,ATx2921,RTx2918,19CS,2.83
ATx2923/R03248,ATx2923,R03248,19CS,2.65
ATx2923/R04104,ATx2923,R04104,19CS,2.1
ATx2923/R05330,ATx2923,R05330,19CS,2.875
ATx2923/R05405,ATx2923,R05405,19CS,2.995
ATx2923/R05425,ATx2923,R05425,19CS,2.935
ATx2923/R08297,ATx2923,R08297,19CS,2.58
ATx2923/R11158,ATx2923,R11158,19CS,2.045
ATx2923/R11208,ATx2923,R11208,19CS,2.855
ATx2923/R12145,ATx2923,R12145,19CS,2.145
ATx2923/RTx2913,ATx2923,RTx2913,19CS,2.7
ATx2923/RTx2917,ATx2923,RTx2917,19CS,2.485
ATx2923/RTx2936,ATx2923,RTx2936,19CS,2.595
ATx2924/R04060,ATx2924,R04060,19CS,3.02
ATx2924/R05386,ATx2924,R05386,19CS,2.995
ATx2924/R05393,ATx2924,R05393,19CS,2.915
ATx2924/R05512,ATx2924,R05512,19CS,2.95
ATx2924/R08224,ATx2924,R08224,19CS,2.805
ATx2924/R11158,ATx2924,R11158,19CS,3.03
ATx2924/R12145,ATx2924,R12145,19CS,2.475
ATx2924/RTx2918,ATx2924,RTx2918,19CS,2.525
ATx2924/RTx2920,ATx2924,RTx2920,19CS,2.45
ATx2924/RTx2936,ATx2924,RTx2936,19CS,2.945
ATx2924/RTx2940,ATx2924,RTx2940,19CS,2.815
ATx2924/RTx2941,ATx2924,RTx2941,19CS,2.73
ATx2926/R01302,ATx2926,R01302,19CS,2.895
ATx2926/R05393,ATx2926,R05393,19CS,2.905
ATx2926/R05405,ATx2926,R05405,19CS,3.2
ATx2926/R07161,ATx2926,R07161,19CS,3.11
ATx2926/R08297,ATx2926,R08297,19CS,2.55
ATx2926/R08304,ATx2926,R08304,19CS,2.87
ATx2926/R12154,ATx2926,R12154,19CS,2.265
ATx2926/RTx2913,ATx2926,RTx2913,19CS,2.975
ATx2926/RTx2917,ATx2926,RTx2917,19CS,2.615
ATx2926/RTx2919,ATx2926,RTx2919,19CS,2.875
ATx2926/RTx2944,ATx2926,RTx2944,19CS,3.065
ATx2927/R12157,ATx2927,R12157,19CS,2.85
ATx2927/RTx2936,ATx2927,RTx2936,19CS,2.875
ATx2927/RTx2937,ATx2927,RTx2937,19CS,2.51
ATx2930/R01302,ATx2930,R01302,19CS,2.965
ATx2930/R02107,ATx2930,R02107,19CS,2.99
ATx2930/R03248,ATx2930,R03248,19CS,3.235
ATx2930/R05393,ATx2930,R05393,19CS,3.155
ATx2930/R05425,ATx2930,R05425,19CS,3.255
ATx2930/R07178,ATx2930,R07178,19CS,3.23
ATx2930/R08303,ATx2930,R08303,19CS,3.005
ATx2930/R11158,ATx2930,R11158,19CS,3.165
ATx2930/R12148,ATx2930,R12148,19CS,2.855
ATx2930/R12154,ATx2930,R12154,19CS,3.055
ATx2930/RTx2920,ATx2930,RTx2920,19CS,3.06
ATx2930/RTx2940,ATx2930,RTx2940,19CS,2.885
ATx2930/RTx2942,ATx2930,RTx2942,19CS,3.11
ATx2931/R01302,ATx2931,R01302,19CS,2.565
ATx2931/R05405,ATx2931,R05405,19CS,2.705
ATx2931/R07161,ATx2931,R07161,19CS,2.915
ATx2931/R08297,ATx2931,R08297,19CS,2.585
ATx2931/R08304,ATx2931,R08304,19CS,2.505
ATx2931/R08306,ATx2931,R08306,19CS,2.745
ATx2931/R11208,ATx2931,R11208,19CS,2.175
ATx2931/RTx2936,ATx2931,RTx2936,19CS,2.755
ATx2931/RTx2940,ATx2931,RTx2940,19CS,2.505
ATx2931/RTx2943,ATx2931,RTx2943,19CS,2.98
ATx2934/R05386,ATx2934,R05386,19CS,2.97
ATx2934/R08297,ATx2934,R08297,19CS,3.105
ATx2934/R11208,ATx2934,R11208,19CS,3.21
ATx2934/R12157,ATx2934,R12157,19CS,3.415
ATx2934/RTx2935,ATx2934,RTx2935,19CS,3.17
ATx2934/RTx2941,ATx2934,RTx2941,19CS,3.275
ATx3408/R05330,ATx3408,R05330,19CS,3.055
ATx3408/R12145,ATx3408,R12145,19CS,2.405
ATx3408/RTx2935,ATx3408,RTx2935,19CS,3.245
ATx3409/R08224,ATx3409,R08224,19CS,3.015
