pedigree,female,male,env,blue
AKS119/RTx2918,AKS119,RTx2918,19CS,11.9
AKS119/RTx2919,AKS119,RTx2919,19CS,12.235
AKS120/R04060,AKS120,R04060,19CS,12.29
AKS120/R05425,AKS120,R05425,19CS,12.32
AKS120/R07161,AKS120,R07161,19CS,12.58
AKS120/R08303,AKS120,R08303,19CS,12.095
AKS120/R08306,AKS120,R08306,19CS,12.61
AKS120/R12071,AKS120,R12071,19CS,12.55
AKS120/RTx2918,AKS120,RTx2918,19CS,12.505
AKS120/RTx2935,AKS120,RTx2935,19CS,12.225
AKS120/RTx2942,AKS120,RTx2942,19CS,12.63
AN263/R08224,AN263,R08224,19CS,11.76
AN263/R11208,AN263,R11208,19CS,12.34
AN263/R12148,AN263,R12148,19CS,12.475
AN263/RTx2935,AN263,RTx2935,19CS,12.4
AN263/RTx2936,AN263,RTx2936,19CS,11.99
AN263/RTx2938,AN263,RTx2938,19CS,12.59
AN268/R11158,AN268,R11158,19CS,11.41
AN268/R12148,AN268,R12148,19CS,12.125
AN268/R12154,AN268,R12154,19CS,12.155
AN290/R02107,AN290,R02107,19CS,12.165
AN290/R03248,AN290,R03248,19CS,12.055
AN290/R05386,AN290,R05386,19CS,10.945
AN290/R07161,AN290,R07161,19CS,12.6
AN290/R12154,AN290,R12154,19CS,12.145
AN290/RTx2917,AN290,RTx2917,19CS,12.645
AN290/RTx2920,AN290,RTx2920,19CS,11.885
AN290/RTx2942,AN290,RTx2942,19CS,12.415
AN290/RTx2943,AN290,RTx2943,19CS,12.045
ATx2921/R01302,ATx2921,R01302,19CS,12.19
ATx2921/R05330,ATx2921,R05330,19CS,12.29
ATx2921/R05405,ATx2921,R05405,19CS,11.615
ATx2921/R07178,ATx2921,R07178,19CS,12.13
ATx2921/R12145,ATx2921,R12145,19CS,11.085
ATx2921/R12157,ATx2921,R12157,19CS,12.065
ATx2921/RTx2914,ATx2921,RTx2914,19CS,10.945
ATx2921/RTx2918,ATx2921,RTx2918,19CS,11.87
ATx2923/R03248,ATx2923,R03248,19CS,11.975
ATx2923/R04104,ATx2923,R04104,19CS,11.905
ATx2923/R05330,ATx2923,R05330,19CS,11.27
ATx2923/R05405,ATx2923,R05405,19CS,12.295
ATx2923/R05425,ATx2923,R05425,19CS,12.175
ATx2923/R08297,ATx2923,R08297,19CS,11.965
ATx2923/R11158,ATx2923,R11158,19CS,10.94
ATx2923/R11208,ATx2923,R11208,19CS,11.66
ATx2923/R12145,ATx2923,R12145,19CS,11.525
ATx2923/RTx2913,ATx2923,RTx2913,19CS,11.815
ATx2923/RTx2917,ATx2923,RTx2917,19CS,12.31
ATx2923/RTx2936,ATx2923,RTx2936,19CS,12.655
ATx2924/R04060,ATx2924,R04060,19CS,11.71
ATx2924/R05386,ATx2924,R05386,19CS,12.55
ATx2924/R05393,ATx2924,R05393,19CS,12.38
ATx2924/R05512,ATx2924,R05512,19CS,12.01
ATx2924/R08224,ATx2924,R08224,19CS,12.43
ATx2924/R11158,ATx2924,R11158,19CS,11.655
ATx2924/R12145,ATx2924,R12145,19CS,12.305
ATx2924/RTx2918,ATx2924,RTx2918,19CS,13.18
ATx2924/RTx2920,ATx2924,RTx2920,19CS,12.53
ATx2924/RTx2936,ATx2924,RTx2936,19CS,13.13
ATx2924/RTx2940,ATx2924,RTx2940,19CS,12.915
ATx2924/RTx2941,ATx2924,RTx2941,19CS,13.375
ATx2926/R01302,ATx2926,R01302,19CS,12.315
ATx2926/R05393,ATx2926,R05393,19CS,13.24
ATx2926/R05405,ATx2926,R05405,19CS,12.54
ATx2926/R07161,ATx2926,R07161,19CS,12.95
ATx2926/R08297,ATx2926,R08297,19CS,12.04
ATx2926/R08304,ATx2926,R08304,19CS,13.345
ATx2926/R12154,ATx2926,R12154,19CS,12.015
ATx2926/RTx2913,ATx2926,RTx2913,19CS,13.315
ATx2926/RTx2917,ATx2926,RTx2917,19CS,12.49
ATx2926/RTx2919,ATx2926,RTx2919,19CS,13.365
ATx2926/RTx2944,ATx2926,RTx2944,19CS,12.28
ATx2927/R12157,ATx2927,R12157,19CS,13.265
ATx2927/RTx2936,ATx2927,RTx2936,19CS,12.785
ATx2927/RTx2937,ATx2927,RTx2937,19CS,12.81
ATx2930/R01302,ATx2930,R01302,19CS,12.445
ATx2930/R02107,ATx2930,R02107,19CS,12.94
ATx2930/R03248,ATx2930,R03248,19CS,12.925
ATx2930/R05393,ATx2930,R05393,19CS,13.37
ATx2930/R05425,ATx2930,R05425,19CS,12.775
ATx2930/R07178,ATx2930,R07178,19CS,13.105
ATx2930/R08303,ATx2930,R08303,19CS,12.51
ATx2930/R11158,ATx2930,R11158,19CS,13.07
ATx2930/R12148,ATx2930,R12148,19CS,12.42
ATx2930/R12154,ATx2930,R12154,19CS,13.435
ATx2930/RTx2920,ATx2930,RTx2920,19CS,12.08
ATx2930/RTx2940,ATx2930,RTx2940,19CS,13.25
ATx2930/RTx2942,ATx2930,RTx2942,19CS,12.56
ATx2931/R01302,ATx2931,R01302,19CS,13.315
ATx2931/R05405,ATx2931,R05405,19CS,12.455
ATx2931/R07161,ATx2931,R07161,19CS,13.555
ATx2931/R08297,ATx2931,R08297,19CS,12.655
ATx2931/R08304,ATx2931,R08304,19CS,13.45
ATx2931/R08306,ATx2931,R08306,19CS,12.18
ATx2931/R11208,ATx2931,R11208,19CS,13.22
ATx2931/RTx2936,ATx2931,RTx2936,19CS,11.96
ATx2931/RTx2940,ATx2931,RTx2940,19CS,13.455
ATx2931/RTx2943,ATx2931,RTx2943,19CS,12.065
ATx2934/R05386,ATx2934,R05386,19CS,13.175
ATx2934/R08297,ATx2934,R08297,19CS,11.515
ATx2934/R11208,ATx2934,R11208,19CS,13.41
ATx2934/R12157,ATx2934,R12157,19CS,11.945
ATx2934/RTx2935,ATx2934,RTx2935,19CS,13.19
ATx2934/RTx2941,ATx2934,RTx2941,19CS,12.155
ATx3408/R05330,ATx3408,R05330,19CS,12.975
ATx3408/R12145,ATx3408,R12145,19CS,10.945
ATx3408/RTx2935,ATx3408,RTx2935,19CS,13.16
ATx3409/R08224,ATx3409,R08224,19CS,11.75
ATx644/R05330,ATx644,R05330,19CS,12.86
ATx644/R08224,ATx644,R08224,19CS,11.875
ATx644/RTx2935,ATx644,RTx2935,19CS,12.97
ATx644/RTx2936,ATx644,RTx2936,19CS,12.075
A01021/R02107,A01021,R02107,19TA,11.057
A01021/R07178,A01021,R07178,19TA,11.537
A01021/R12145,A01021,R12145,19TA,11.327
A01021/RTx2935,A01021,RTx2935,19TA,12.28
A01046/R05386,A01046,R05386,19TA,11.507
A01046/R11208,A01046,R11208,19TA,11.382
A01046/RTx2914,A01046,RTx2914,19TA,11.732
A01362/R04060,A01362,R04060,19TA,11.815
A01362/R05512,A01362,R05512,19TA,11.4
A01362/R08304,A01362,R08304,19TA,11.78
A01362/RTx2912,A01362,RTx2912,19TA,11.527
A01362/RTx2919,A01362,RTx2919,19TA,11.357
A01362/RTx2943,A01362,RTx2943,19TA,11.37
A03017/R04104,A03017,R04104,19TA,12.05
A03017/RTx2918,A03017,RTx2918,19TA,12.137
A03032/R04060,A03032,R04060,19TA,11.632
A03032/RTx2913,A03032,RTx2913,19TA,12.325
A03032/RTx2942,A03032,RTx2942,19TA,12.105
A03040/R04104,A03040,R04104,19TA,11.452
A03040/R05393,A03040,R05393,19TA,12.38
A03040/R08306,A03040,R08306,19TA,12.292
A03040/R12071,A03040,R12071,19TA,12.03
A03040/R12154,A03040,R12154,19TA,12.247
A03040/RTx2917,A03040,RTx2917,19TA,12.082
A03040/RTx2942,A03040,RTx2942,19TA,12.287
A03043/R04104,A03043,R04104,19TA,11.707
A03043/R05386,A03043,R05386,19TA,11.902
A03043/R08297,A03043,R08297,19TA,11.92
A03043/R12148,A03043,R12148,19TA,11.352
A03043/RTx2920,A03043,RTx2920,19TA,11.87
A03054/R05405,A03054,R05405,19TA,12.037
A03054/R12156,A03054,R12156,19TA,11.442
A03054/RTx2936,A03054,RTx2936,19TA,12.095
A03054/RTx2941,A03054,RTx2941,19TA,11.582
A03055/R05330,A03055,R05330,19TA,11.787
A03055/R08297,A03055,R08297,19TA,11.797
A03055/RTx2918,A03055,RTx2918,19TA,11.22
A03055/RTx2942,A03055,RTx2942,19TA,11.215
A03055/RTx2944,A03055,RTx2944,19TA,11.46
A03089/R05393,A03089,R05393,19TA,10.21
A03089/R12157,A03089,R12157,19TA,11.22
A03089/RTx2917,A03089,RTx2917,19TA,11.27
A03093/R02107,A03093,R02107,19TA,11.655
A03093/R05405,A03093,R05405,19TA,11.675
A03093/R08297,A03093,R08297,19TA,10.91
A03093/RTx2913,A03093,RTx2913,19TA,11.7
A03093/RTx2920,A03093,RTx2920,19TA,11.185
A03093/RTx2944,A03093,RTx2944,19TA,11.5
A03121/R05330,A03121,R05330,19TA,11.32
A03121/R07178,A03121,R07178,19TA,11.485
A03121/R08303,A03121,R08303,19TA,10.99
A03121/RTx2913,A03121,RTx2913,19TA,11.295
A03121/RTx2935,A03121,RTx2935,19TA,11.825
A05071/R02107,A05071,R02107,19TA,11.625
A05071/R05330,A05071,R05330,19TA,11.33
A05071/R05425,A05071,R05425,19TA,11.205
A05071/R11158,A05071,R11158,19TA,11.105
A05071/RTx2936,A05071,RTx2936,19TA,10.925
A05210/R03248,A05210,R03248,19TA,10.815
A05210/R05405,A05210,R05405,19TA,10.665
A05210/R08224,A05210,R08224,19TA,10.98
A05210/R12154,A05210,R12154,19TA,11.56
A05210/RTx2937,A05210,RTx2937,19TA,11.065
A05210/RTx2943,A05210,RTx2943,19TA,11.675
A05269/R05330,A05269,R05330,19TA,11.315
A05269/R08303,A05269,R08303,19TA,11.22
A05269/R11208,A05269,R11208,19TA,11.435
A05269/RTx2919,A05269,RTx2919,19TA,10.655
A05269/RTx2943,A05269,RTx2943,19TA,11.34
A06035/R03248,A06035,R03248,19TA,11.225
A06035/R12154,A06035,R12154,19TA,11.525
A06035/RTx2917,A06035,RTx2917,19TA,10.84
A06035/RTx2936,A06035,RTx2936,19TA,11.07
A06036/R08306,A06036,R08306,19TA,10.55
A06036/RTx2940,A06036,RTx2940,19TA,10.44
A07118/R08224,A07118,R08224,19TA,10.98
A07118/R12145,A07118,R12145,19TA,10.89
A07118/R12157,A07118,R12157,19TA,11.095
A07118/RTx2944,A07118,RTx2944,19TA,11.16
A07124/R04060,A07124,R04060,19TA,10.995
A07124/R05425,A07124,R05425,19TA,11.53
A07124/R11158,A07124,R11158,19TA,10.805
A07124/RTx2917,A07124,RTx2917,19TA,11.06
A07124/RTx2935,A07124,RTx2935,19TA,11.19
A08068/R03248,A08068,R03248,19TA,10.635
A08068/R11158,A08068,R11158,19TA,10.51
A08068/RTx2919,A08068,RTx2919,19TA,10.835
A08134/R04060,A08134,R04060,19TA,10.945
A08134/R07178,A08134,R07178,19TA,11.315
A08134/R11158,A08134,R11158,19TA,11.345
A08134/RTx2918,A08134,RTx2918,19TA,11.16
A08134/RTx2940,A08134,RTx2940,19TA,11.505
A08140/R04104,A08140,R04104,19TA,11.1
A08140/R05386,A08140,R05386,19TA,10.865
A08140/R08303,A08140,R08303,19TA,10.51
A08140/R12156,A08140,R12156,19TA,10.315
A08158/R01302,A08158,R01302,19TA,11.11
A08158/R05330,A08158,R05330,19TA,11.13
A08158/R08224,A08158,R08224,19TA,10.85
A08158/R12145,A08158,R12145,19TA,10.92
A08158/RTx2912,A08158,RTx2912,19TA,10.6
A08158/RTx2917,A08158,RTx2917,19TA,11.215
A11076/R04060,A11076,R04060,19TA,10.63
A11076/R08297,A11076,R08297,19TA,10.385
A11076/R12154,A11076,R12154,19TA,10.915
A11076/RTx2918,A11076,RTx2918,19TA,11.285
A11076/RTx2940,A11076,RTx2940,19TA,11.15
A11085/R04104,A11085,R04104,19TA,10.495
A11085/R07178,A11085,R07178,19TA,10.715
A11085/RTx2942,A11085,RTx2942,19TA,10.65
AKS116/R02107,AKS116,R02107,19TA,11.01
AKS116/R12154,AKS116,R12154,19TA,10.74
AKS116/RTx2920,AKS116,RTx2920,19TA,10.885
