"","traits","model","CV","grains","M","SD"
"131","protein","M3","CV2","20CS",0.81423489925,0.0505136416166087
"132","protein","M3","CV2","20LY",0.75743612405,0.0910426895772063
"133","protein","M4","CV1","20CS",0.5482676339,0.0749049201095668
"134","protein","M4","CV1","20LY",0.6444047943,0.0855123688583591
"135","protein","M4","CV2","20CS",0.6236643586,0.0589052097099148
"136","protein","M4","CV2","20LY",0.7035069726,0.0664714663656563
"137","protein","M5","CV1","20CS",0.68242391275,0.095808565633253
"138","protein","M5","CV1","20LY",0.3513453207,0.130777865095599
"139","protein","M5","CV2","20CS",0.7289900318,0.0572560532179253
"140","protein","M5","CV2","20LY",0.3649886964,0.127088713692755
"141","protein","M6","CV1","20CS",0.55777486055,0.07891963204993
"142","protein","M6","CV1","20LY",0.5088047039,0.117752412299245
"143","protein","M6","CV2","20CS",0.59923647625,0.0883801561438309
"144","protein","M6","CV2","20LY",0.61422168145,0.0697066242243144
"145","starch","M1","CV1","20CS",0.53932249145,0.123551699503369
"146","starch","M1","CV1","20LY",0.50423744215,0.122014490815723
"147","starch","M1","CV2","20CS",0.6754286823,0.0959471244711909
"148","starch","M1","CV2","20LY",0.66503694555,0.0830946540383964
"149","starch","M2","CV1","20CS",0.53259966375,0.127255217607079
"150","starch","M2","CV1","20LY",0.566218645,0.0854851260242983
"151","starch","M2","CV2","20CS",0.6409562662,0.109656919394848
"152","starch","M2","CV2","20LY",0.6717237337,0.0810426420428989
"153","starch","M3","CV1","20CS",0.7724055494,0.0736417838721257
"154","starch","M3","CV1","20LY",0.74373401115,0.125313625607951
"155","starch","M3","CV2","20CS",0.83651480675,0.0504882616650235
"156","starch","M3","CV2","20LY",0.82699117895,0.0858783530719804
"157","starch","M4","CV1","20CS",0.4761225467,0.0790658183025175
"158","starch","M4","CV1","20LY",0.7447151201,0.118505515925927
"159","starch","M4","CV2","20CS",0.61452734255,0.0788273779383215
"160","starch","M4","CV2","20LY",0.7985346132,0.0765844465841338
"161","starch","M5","CV1","20CS",0.73067310115,0.0758028519317092
"162","starch","M5","CV1","20LY",0.3216789115,0.13809344206097
"163","starch","M5","CV2","20CS",0.76270349955,0.0515324687953423
"164","starch","M5","CV2","20LY",0.38115551315,0.121608592739523
"165","starch","M6","CV1","20CS",0.57904243465,0.14604221839158
"166","starch","M6","CV1","20LY",0.5975595925,0.081037474776148
"167","starch","M6","CV2","20CS",0.6644927635,0.109956423073528
"168","starch","M6","CV2","20LY",0.7170251037,0.0512339180963452
"169","yield","M1","CV1","20CS",0.2940048328,0.121818798081034
"170","yield","M1","CV1","20LY",0.28608776595,0.114427675093172
"171","yield","M1","CV2","20CS",0.41919515345,0.129532589389584
"172","yield","M1","CV2","20LY",0.41400730955,0.123372805121183
"173","yield","M2","CV1","20CS",0.25859417065,0.180736768904201
"174","yield","M2","CV1","20LY",0.28451509005,0.127317125763302
"175","yield","M2","CV2","20CS",0.374238875,0.12810918283437
"176","yield","M2","CV2","20LY",0.3558013312,0.149444667018799
"177","yield","M3","CV1","20CS",0.3654991994,0.1088887509913
"178","yield","M3","CV1","20LY",0.31812078725,0.13487826797327
"179","yield","M3","CV2","20CS",0.42714897035,0.118753807575741
"180","yield","M3","CV2","20LY",0.36497388475,0.110770701722696
"181","yield","M4","CV1","20CS",0.2899394829,0.138141892196302
"182","yield","M4","CV1","20LY",0.25841001565,0.116160052595509
"183","yield","M4","CV2","20CS",0.2858279056,0.116831556923248
"184","yield","M4","CV2","20LY",0.3325481308,0.124116854523524
"185","yield","M5","CV1","20CS",0.3290891902,0.123392570638785
"186","yield","M5","CV1","20LY",0.25295143555,0.158951300235576
"187","yield","M5","CV2","20CS",0.40309783785,0.100004756232152
"188","yield","M5","CV2","20LY",0.28678721925,0.16963080329141
"189","yield","M6","CV1","20CS",0.2616196855,0.0686805706893899
"190","yield","M6","CV1","20LY",0.2419376484,0.137040168278652
"191","yield","M6","CV2","20CS",0.4303852284,0.102686552382066
"192","yield","M6","CV2","20LY",0.4019437723,0.116989301942066
